Name,Speech,Lemmas,verse_number,inferred_verse_number
Ὀρέστης,δόλοισι κλέψαι χειρὸς ἐνδίκους σφαγάς.,δόλος κλέπτω χείρ ἔνδικος σφαγεύς,,37.0
Ὀρέστης,"ὅτ᾽ οὖν τοιόνδε χρησμὸν εἰσηκούσαμεν,",ὅστε οὖν τοιόσδε χρησμός εἰσακούω,,38.0
Ὀρέστης,"σὺ μὲν μολών, ὅταν σε καιρὸς εἰσάγῃ,",σύ μέν βλώσκω ὅταν σός καῖρος εἰσάγω,,39.0
Ὀρέστης,"δόμων ἔσω τῶνδ᾽, ἴσθι πᾶν τὸ δρώμενον,",δόμος ἔσω ὅδε εἰμί Πάν ὁ δράω,40,40.0
Ὀρέστης,ὅπως ἂν εἰδὼς ἡμὶν ἀγγείλῃς σαφῆ.,ὅπως ἄν εἰδοί ἐγώ ἀγγέλλω σαφής,,41.0
Ὀρέστης,οὐ γάρ σε μὴ γήρᾳ τε καὶ χρόνῳ μακρῷ,οὐ γάρ σός μή γῆρας σύ καί χρόνος μακρός,,42.0
Ὀρέστης,"γνῶσ᾽, οὐδ᾽ ὑποπτεύσουσιν ὧδ᾽ ἠνθισμένον.",γιγνώσκω οὐδέ ὑποπτεύω ὧδε ἀνθίζω,,43.0
Ὀρέστης,"λόγῳ δὲ χρῶ τοιῷδ᾽, ὅτι ξένος μὲν εἶ",λόγος δέ χράομαι τοιόσδε ὅστις ξένος μέν εἰ,,44.0
Ὀρέστης,Φωκέως παρ᾽ ἀνδρὸς Φανοτέως ἥκων: ὃ γὰρ,Φωκεύς Πάρις ἀνήρ ἥκω ὅς γάρ,45,45.0
Ὀρέστης,μέγιστος αὐτοῖς τυγχάνει δορυξένων.,μέγας αὐτός τυγχάνω δορύξενος,,46.0
Ὀρέστης,ἄγγελλε δ᾽ ὅρκον προστιθεὶς ὁθούνεκα,ἀγγέλλω δέ ὅρκος προστίθημι ὁθούνεκα,,47.0
Ὀρέστης,"τέθνηκ᾽ Ὀρέστης ἐξ ἀναγκαίας τύχης,",θνήσκω Ὀρέστης ἐξ ἀνάγκη τύχη,,48.0
Ὀρέστης,ἄθλοισι Πυθικοῖσιν ἐκ τροχηλάτων,ἆθλον Πυθικός ἐκ τροχήλατος,,49.0
Ὀρέστης,δίφρων κυλισθείς: ὧδ᾽ ὁ μῦθος ἑστάτω.,δίφρος κυλίνδω ὧδε ὅς μῦθος ἵστημι,50,50.0
Ἠλέκτρα,ἰώ μοί μοι δύστηνος.,Ἰώ ἐγώ ἐγώ δύστηνος,,51.0
Παιδαγωγός,καὶ μὴν θυρῶν ἔδοξα προσπόλων τινὸς,καί μείς θύρα δοκέω πρόσπολος τίς,,52.0
Παιδαγωγός,"ὑποστενούσης ἔνδον αἰσθέσθαι, τέκνον.",ὑποστένω ἔνδον αἰσθάνομαι τέκνον,,53.0
Ὀρέστης,ἆρ᾽ ἐστὶν ἡ δύστηνος Ἠλέκτρα: θέλεις,ἄρα εἰμί ἧ δύστηνος ἤλεκτρον ἐθέλω,80,80.0
Ὀρέστης,μείνωμεν αὐτοῦ κἀπακούσωμεν γόων;,μένω αὐτός ἐπακούω γόος,,81.0
Παιδαγωγός,ἥκιστα: μηδὲν πρόσθεν ἢ τὰ Λοξίου,ἥκιστος μηδείς πρόσθεν εἰμί ὁ Λοξίας,,82.0
Παιδαγωγός,"πειρώμεθ᾽ ἔρδειν κἀπὸ τῶνδ᾽ ἀρχηγετεῖν,",πείρω ἔρδω ἀπό ὅδε ἀρχηγετέω,,83.0
Παιδαγωγός,πατρὸς χέοντες λουτρά: ταῦτα γὰρ φέρει,πατήρ χάω λουτρόν οὗτος γάρ φέρω,,84.0
Παιδαγωγός,νίκην τ᾽ ἐφ᾽ ἡμῖν καὶ κράτος τῶν δρωμένων.,νίκη σύ ἐπί ἐγώ καί Κράτης ὁ δράω,85,85.0
Ἠλέκτρα,ὦ φάος ἁγνὸν,εἰμί φάος ἁγνός,,86.0
Ἠλέκτρα,"καὶ γῆς ἰσόμοιρ᾽ ἀήρ, ὥς μοι",καί γῆ ἰσόμοιρος ἀήρ ὅς ἐγώ,,87.0
Ἠλέκτρα,"πολλὰς μὲν θρήνων ᾠδάς,",πολύς μέν θρῆνος ἀοιδή,,88.0
Ἠλέκτρα,πολλὰς δ᾽ ἀντήρεις ᾔσθου,πολύς δέ ἀντήρης ἀίσθω,,89.0
Ἠλέκτρα,"στέρνων πληγὰς αἱμασσομένων,",στέρνον πλήξ αἱμάσσω,90,90.0
Ἠλέκτρα,ὁπόταν δνοφερὰ νὺξ ὑπολειφθῇ:,ὁπόταν δνοφερός νύξ ὑπολείπω,,91.0
Ἠλέκτρα,τὰ δὲ παννυχίδων ἤδη στυγεραὶ,ὁ δέ παννύχιος ἤδη στυγερός,,92.0
Ἠλέκτρα,"ξυνίσασ᾽ εὐναὶ μογερῶν οἴκων,",σύνοιδα εὐνάω μογερός οἶκος,,93.0
Ἠλέκτρα,ὅσα τὸν δύστηνον ἐμὸν θρηνῶ,ὅσος ὁ δύστηνος ἐμός θρῆνος,,94.0
Ἠλέκτρα,"πατέρ᾽, ὃν κατὰ μὲν βάρβαρον αἶαν",πατήρ ὅς κάτος μέν βάρβαρος Αἴας,95,95.0
Ἠλέκτρα,"φοίνιος Ἄρης οὐκ ἐξένισεν,",φοίνιος Ἄρης οὐ ξενίζω,,96.0
Ἠλέκτρα,μήτηρ δ᾽ ἡμὴ χὠ κοινολεχὴς,μήτηρ δέ ἡμός ἵημι κοινολεχής,,97.0
Ἠλέκτρα,Αἴγισθος ὅπως δρῦν ὑλοτόμοι,Αἴγισθος ὅπως δρῦς ὑλότομος,,98.0
Ἠλέκτρα,"σχίζουσι κάρα φονίῳ πελέκει,",σχίζω κάρ φόνιος πέλεκυς,,99.0
Ἠλέκτρα,κοὐδεὶς τούτων οἶκτος ἀπ᾽ ἄλλης,οὐδείς οὗτος οἶκτος Ἆπις ἄλλος,100,100.0
Ἠλέκτρα,"ἢ 'μοῦ φέρεται, σοῦ, πάτερ, οὕτως",εἰμί ἐγώ φέρω σεύω πατήρ οὕτως,,101.0
Ἠλέκτρα,αἰκῶς οἰκτρῶς τε θανόντος.,ἀικής οἰκτρός σύ θνήσκω,,102.0
Χορός,"ὦ παῖ, παῖ δυστανοτάτας",εἰμί παῖς παῖς δύστηνος,,103.0
Χορός,"Ἠλέκτρα ματρός, τίν᾽ ἀεὶ",ἤλεκτρον μήτηρ τίνω ἀεί,,104.0
Χορός,τάκεις ὧδ᾽ ἀκόρεστον οἰμωγὰν,τήκω ὧδε ἀκόρεστος οἰμωγή,,105.0
Χορός,τὸν πάλαι ἐκ δολερᾶς ἀθεώτατα,ὁ πάλα ἐκ δολερός ἄθεος,,106.0
Χορός,ματρὸς ἁλόντ᾽ ἀπάταις Ἀγαμέμνονα,μήτηρ ἅλλομαι ἀπάτη Ἀγαμέμνων,125,125.0
Χορός,κακᾷ τε χειρὶ πρόδοτον; ὡς ὁ τάδε πορὼν,κάκη σύ χείρ πρόδοτος ὅς ὅς ὅδε πόρος,,126.0
Χορός,"ὄλοιτ᾽, εἴ μοι θέμις τάδ᾽ αὐδᾶν.",ὄλλυμι εἰ ἐγώ θέμις ὅδε αὐδάω,,127.0
Ἠλέκτρα,"ὦ γενέθλα γενναίων,",εἰμί γένεθλον γενναῖος,,128.0
Ἠλέκτρα,ἥκετ᾽ ἐμῶν καμάτων παραμύθιον.,ἥκω ἐμέω κάματος παραμύθιον,130,130.0
Ἠλέκτρα,"οἶδά τε καὶ ξυνίημι τάδ᾽, οὔ τί με",οἶδα σύ καί συνίημι ὅδε οὐ τίς ἐγώ,,131.0
Ἠλέκτρα,"φυγγάνει, οὐδ᾽ ἐθέλω προλιπεῖν τόδε,",φεύγω οὐδέ ἐθέλω προλείπω ὅδε,,132.0
Ἠλέκτρα,μὴ οὐ τὸν ἐμὸν στενάχειν πατέρ᾽ ἄθλιον.,μή οὐ ὁ ἐμός στενάχω πατήρ ἄθλιος,,133.0
Ἠλέκτρα,"ἀλλ᾽ ὦ παντοίας φιλότητος ἀμειβόμεναι χάριν,",ἄλλος εἰμί παντοῖος φιλότης ἀμείβω Χάρις,,134.0
Ἠλέκτρα,"ἐᾶτέ μ᾽ ὧδ᾽ ἀλύειν,",ἐάω ἐγώ ὧδε ἀλύω,135,135.0
Ἠλέκτρα,"αἰαῖ, ἱκνοῦμαι.",αἶα ἱκνέομαι,,136.0
Χορός,ἀλλ᾽ οὔτοι τόν γ᾽ ἐξ Ἀΐδα,ἄλλος οὔτοι ὁ γε ἐξ Ἅιδης,,137.0
Χορός,παγκοίνου λίμνας πατέρ᾽ ἀν-,πάγκοινος λίμνη πατήρ ἄν,,138.0
Χορός,στάσεις οὔτε γόοισιν οὔτ᾽ εὐχαῖς.,ἵστημι οὔτε γόος οὔτε εὐχή,,139.0
Χορός,ἀλλ᾽ ἀπὸ τῶν μετρίων ἐπ᾽ ἀμήχανον,ἄλλος ἀπό ὁ μέτριος ἐπί ἀμήχανος,140,140.0
Χορός,"ἄλγος ἀεὶ στενάχουσα διόλλυσαι,",ἄλγος ἀεί στενάχω διόλλυμι,,141.0
Χορός,ἐν οἷς ἀνάλυσίς ἐστιν οὐδεμία κακῶν.,ἐν ὅς ἀνάλυσις εἰμί οὐδείς κάκη,,142.0
Χορός,τί μοι τῶν δυσφόρων ἐφίει;,τίς ἐγώ ὁ δύσφορος ἐφίημι,,143.0
Ἠλέκτρα,νήπιος ὃς τῶν οἰκτρῶς,νήπιος ὅς ὁ οἰκτρός,,144.0
Ἠλέκτρα,οἰχομένων γονέων ἐπιλάθεται.,οἴχομαι γονάω ἐπιλανθάνομαι,145,145.0
Ἠλέκτρα,"ἀλλ᾽ ἐμέ γ᾽ ἁ στονόεσσ᾽ ἄραρεν φρένας,",ἄλλος ἐγώ γε ὅς στονόεις ἀραρίσκω φρήν,,146.0
Ἠλέκτρα,"ἃ Ἴτυν, αἰὲν Ἴτυν ὀλοφύρεται,",ὅς Ἴτυς ἀεί Ἴτυς ὀλοφύρομαι,,147.0
Ἠλέκτρα,"ὄρνις ἀτυζομένα, Διὸς ἄγγελος.",ὄρνις ἀτύζομαι Δῖος ἄγγελος,,148.0
