Name,Speech,Lemmas,verse_number,inferred_verse_number
Δηιάνειρα,"νῦν δ᾽ ἡνίκ᾽ ἄθλων τῶνδ᾽ ὑπερτελὴς ἔφυ,",νῦν δέ ἑνίζω ἆθλον ὅδε ὑπερτέλλω φύω,,36.0
Δηιάνειρα,ἐνταῦθα δὴ μάλιστα ταρβήσασ᾽ ἔχω.,ἐνταῦθα Δεύς μάλιστα ταρβέω ἔχω,,37.0
Δηιάνειρα,"ἐξ οὗ γὰρ ἔκτα κεῖνος Ἰφίτου βίαν,",ἐξ ἕ γάρ κτείνω ἐκεῖνος Ἴφιτος Βίας,,38.0
Δηιάνειρα,ἡμεῖς μὲν ἐν Τραχῖνι τῇδ᾽ ἀνάστατοι,ἐγώ μέν ἐν Τραχίς ὅδε ἀνάστατος,,39.0
Δηιάνειρα,"ξένῳ παρ᾽ ἀνδρὶ ναίομεν, κεῖνος δ᾽ ὅπου",ξένος Πάρις ἀνδρίς ναίω ἐκεῖνος δέ ὅπου,40,40.0
Δηιάνειρα,βέβηκεν οὐδεὶς οἶδε: πλὴν ἐμοὶ πικρὰς,βαίνω οὐδείς οἶδα πλέω ἐγώ πίκρα,,41.0
Δηιάνειρα,ὠδῖνας αὐτοῦ προσβαλὼν ἀποίχεται.,ὠδίς αὐτός προσβάλλω ἀποίχομαι,,42.0
Δηιάνειρα,σχεδὸν δ᾽ ἐπίσταμαί τι πῆμ᾽ ἔχοντά νιν:,σχεδόν δέ ἐφίστημι τίς πῆμα ἔχω νιν,,43.0
Δηιάνειρα,"χρόνον γὰρ οὐχὶ βαιόν, ἀλλ᾽ ἤδη δέκα",χρόνος γάρ οὐ βάιον ἄλλος ἤδη δέκα,,44.0
Δηιάνειρα,μῆνας πρὸς ἄλλοις πέντ᾽ ἀκήρυκτος μένει.,μαίνομαι πρός ἄλλος πέντε ἀκήρυκτος μένος,45,45.0
Δηιάνειρα,κἀστίν τι δεινὸν πῆμα: τοιαύτην ἐμοὶ,εἰμί τίς δεῖνος πῆμα τοιοῦτος ἐγώ,,46.0
Δηιάνειρα,"δέλτον λιπὼν ἔστειχε, τὴν ἐγὼ θαμὰ",δέλτος λείπω στείχω ὁ ἐγώ θαμά,,47.0
Δηιάνειρα,θεοῖς ἀρῶμαι πημονῆς ἄτερ λαβεῖν.,θέω ἀράομαι πημονή ἄτερ λαμβάνω,,48.0
Θεράπαινα,"δέσποινα Δῃάνειρα, πολλὰ μέν σ᾽ ἐγὼ",δέσποινα Δηιάνειρα πολύς μέν σός ἐγώ,,49.0
Θεράπαινα,κατεῖδον ἤδη πανδάκρυτ᾽ ὀδύρματα,κατεῖδον ἤδη πανδάκρυτος ὄδυρμα,50,50.0
Θεράπαινα,τὴν Ἡράκλειον ἔξοδον γοωμένην:,ὁ Ἡράκλειος ἔξοδος γοάω,,51.0
Θεράπαινα,"νῦν δ᾽, εἰ δίκαιον τοὺς ἐλευθέρους φρενοῦν",νῦν δέ εἰ δίκαιος ὁ ἐλεύθερος φρενόω,,52.0
Θεράπαινα,"γνώμαισι δούλαις, κἀμὲ χρὴ φράσαι τὸ σόν:",γνώμη δούλη ἁμός χράω φράζω ὁ σός,,53.0
Θεράπαινα,"πῶς παισὶ μὲν τοσοῖσδε πληθύεις, ἀτὰρ",πῶς πᾶς μέν τοσόσδε πληθύω ἀτάρ,,54.0
Θεράπαινα,"ἀνδρὸς κατὰ ζήτησιν οὐ πέμπεις τινά,",ἀνήρ κάτος ζήτησις οὐ πέμπω τίς,55,55.0
Θεράπαινα,"μάλιστα δ᾽ ὅνπερ εἰκὸς Ὕλλον, εἰ πατρὸς",μάλιστα δέ ὅς ἔοικα Ὕλλος εἰ πατήρ,,56.0
Θεράπαινα,νέμοι τιν᾽ ὤραν τοῦ καλῶς πράσσειν δοκεῖν;,νέμω τίνω ὤρα ὁ κάλως πράσσω δοκέω,,57.0
Θεράπαινα,"ἐγγὺς δ᾽ ὅδ᾽ αὐτὸς ἀρτίπους θρῴσκει δόμους,",ἐγγύς δέ ὅδε αὐτός ἀρτίπους θρῴσκω δόμος,,58.0
Θεράπαινα,"ὥστ᾽ εἴ τί σοι πρὸς καιρὸν ἐννέπειν δοκῶ,",ὥστε εἰ τίς σός πρός καῖρος ἐνέπω δόκος,,59.0
Θεράπαινα,πάρεστι χρῆσθαι τἀνδρὶ τοῖς τ᾽ ἐμοῖς λόγοις.,πάρειμι χράομαι ἀνδρίς ὁ σύ ἐμέω λόγος,60,60.0
Δηιάνειρα,"ὦ τέκνον, ὦ παῖ, κἀξ ἀγεννήτων ἄρα",εἰμί τέκνον εἰμί παῖς ἐξ ἀγέννητος ἄρα,,61.0
Δηιάνειρα,μῦθοι καλῶς πίπτουσιν: ἥδε γὰρ γυνὴ,μῦθος κάλως πίπτω ὅδε γάρ γυνή,,62.0
Δηιάνειρα,"δούλη μέν, εἴρηκεν δ᾽ ἐλεύθερον λόγον.",δούλη μέν ἐρῶ δέ ἐλεύθερος λόγος,,63.0
Ὕλλος,"ποῖον; δίδαξον, μῆτερ, εἰ διδακτά μοι.",ποῖος διδάσκω μήτηρ εἰ διδακτός ἐγώ,,64.0
Δηιάνειρα,σὲ πατρὸς οὕτω δαρὸν ἐξενωμένου,σός πατήρ οὕτως δηρός ξενόω,65,65.0
Δηιάνειρα,"τὸ μὴ πυθέσθαι ποῦ 'στιν, αἰσχύνην φέρειν.",ὁ μή πύθω πού εἰμί αἰσχύνη φέρω,,66.0
Ὕλλος,"ἀλλ᾽ οἶδα, μύθοις εἴ τι πιστεύειν χρεών.",ἄλλος οἶδα μῦθος εἰ τίς πιστεύω χράω2,,67.0
Δηιάνειρα,"καὶ ποῦ κλύεις νιν, τέκνον, ἱδρῦσθαι χθονός;",καί πού κλύω νιν τέκνον ἱδρύω χθών,,68.0
Ὕλλος,τὸν μὲν παρελθόντ᾽ ἄροτον ἐν μήκει χρόνου,ὁ μέν παρέρχομαι ἄροτος ἐν μῆκος χρόνος,,69.0
Ὕλλος,Λυδῇ γυναικί φασί νιν λάτριν πονεῖν.,Λυδός γυνή Φᾶσις νιν λάτρις πονέω,70,70.0
Δηιάνειρα,"πᾶν τοίνυν, εἰ καὶ τοῦτ᾽ ἔτλη, κλύοι τις ἄν.",Πάν τοίνυν εἰ καί οὗτος τλάω κλύω τίς ἄν,,71.0
Ὕλλος,"ἀλλ᾽ ἐξαφεῖται τοῦδέ γ᾽, ὡς ἐγὼ κλύω.",ἄλλος ἐξαφίημι ὅδε γε ὅς ἐγώ κλύω,,72.0
