Name,Speech,Lemmas,verse_number,inferred_verse_number
Ξένος,"πρὶν νῦν τὰ πλείον᾽ ἱστορεῖν, ἐκ τῆσδ᾽ ἕδρας",πρίν νῦν ὁ πλείων ἱστορέω ἐκ ὅδε ἕδρα,,36.0
Ξένος,ἔξελθ᾽:  ἔχεις γὰρ χῶρον οὐχ ἁγνὸν πατεῖν.,ἐξέρχομαι ἔχις γάρ Χῶρος οὐ ἁγνός πατέω,,37.0
Οἰδίπους,τίς δ᾽ ἔσθ᾽ ὁ χῶρος; τοῦ θεῶν νομίζεται;,τίς δέ ἔσθω ὅς Χῶρος ὁ θέα νομίζω,,38.0
Ξένος,ἄθικτος οὐδ᾽ οἰκητός:  αἱ γὰρ ἔμφοβοι,ἄθικτος οὐδέ οἰκητός ὅς γάρ ἔμφοβος,,39.0
Ξένος,"θεαί σφ᾽ ἔχουσι, Γῆς τε καὶ Σκότου κόραι.",θέα ἕπομαι ἔχω γῆ σύ καί σκότος κόρη,40,40.0
Οἰδίπους,τίνων τὸ σεμνὸν ὄνομ᾽ ἂν εὐξαίμην κλύων;,τίνω ὁ σεμνόν ὄνομα ἄν εὔχομαι κλύω,,41.0
Ξένος,τὰς πάνθ᾽ ὁρώσας Εὐμενίδας ὅ γ᾽ ἐνθάδ᾽ ἂν,ὁ πάντῃ ὁράω Εὐμενίδες ὅς γε ἐνθάδε ἄν,,42.0
Ξένος,εἴποι λεώς νιν:  ἄλλα δ᾽ ἀλλαχοῦ καλά.,εἶπον λαός νιν ἄλλος δέ ἀλλαχοῦ κάλη,,43.0
Οἰδίπους,ἀλλ᾽ ἵλεῳ μὲν τὸν ἱκέτην δεξαίατο:,ἄλλος ἴλαος μέν ὁ ἵκω δέχομαι,,44.0
Οἰδίπους,ὡς οὐχ ἕδρας γῆς τῆσδ᾽ ἂν ἐξέλθοιμ᾽ ἔτι.,ὅς οὐ ἕδρα γῆ ὅδε ἄν ἐξέρχομαι ἔτι,45,45.0
Ξένος,τί δ᾽ ἐστὶ τοῦτο;,τίς δέ εἰμί οὗτος,,46.0
Οἰδίπους,ξυμφορᾶς ξύνθημ᾽ ἐμῆς.,συμφορά σύνθημα ἐμέω,,47.0
Ξένος,ἀλλ᾽ οὐδ᾽ ἐμοί τοι τοὐξανιστάναι πόλεως,ἄλλος οὐδέ ἐγώ ὁ ἐξανίστημι πόλις,,48.0
Ξένος,"δίχ᾽ ἐστὶ θάρσος, πρίν γ᾽ ἂν ἐνδείξω τί δρῶ.",δίκη εἰμί θάρσος πρίν γε ἄν ἐνδείκνυμι τίς δράω,,49.0
Οἰδίπους,"πρός νυν θεῶν, ὦ ξεῖνε, μή μ᾽ ἀτιμάσῃς,",πρός νῦν θέα εἰμί ξένος μή ἐγώ ἀτιμάω,,50.0
Οἰδίπους,"τοιόνδ᾽ ἀλήτην, ὧν σε προστρέπω φράσαι.",τοιόσδε ἀλέω ὅς σός προστρέπω φράζω,50,50.5
Ξένος,"σήμαινε, κοὐκ᾽ ἄτιμος ἔκ γ᾽ ἐμοῦ φανεῖ.",σημαίνω οὐ ἄτιμος ἐκ γε ἐγώ φαίνω,,51.0
Οἰδίπους,"τίς ἔσθ᾽ ὁ χῶρος δῆτ᾽, ἐν ᾧ βεβήκαμεν;",τίς ἔσθω ὅς Χῶρος δέομαι ἐν ὅς βαίνω,,52.0
Ξένος,ὅσ᾽ οἶδα κἀγὼ πάντ᾽ ἐπιστήσει κλύων:,ὅσος οἶδα ἄγαμαι πάντῃ ἐφίστημι κλύω,,53.0
Ξένος,χῶρος μὲν ἱερὸς πᾶς ὅδ᾽ ἔστ᾽: ἔχει δέ νιν,Χῶρος μέν ἱερός πᾶς ὅδε ἔστε ἔχις δέ νιν,,54.0
Ξένος,σεμνὸς Ποσειδῶν: ἐν δ᾽ ὁ πυρφόρος θεὸς,σεμνός Ποσειδῶν ἐν δέ ὅς πύρφορος θεός,55,55.0
Ξένος,"Τιτὰν Προμηθεύς: ὃν δ᾽ ἐπιστείβεις τόπον,",Τιτάν Προμηθεύς ὅς δέ ἐπιστείβω τόπος,,56.0
Ξένος,"χθονὸς καλεῖται τῆσδε χαλκόπους ὀδός,",χθών καλέω ὅδε χαλκόπους οὐδός,,57.0
Ξένος,ἔρεισμ᾽ Ἀθηνῶν:  οἱ δὲ πλησίοι γύαι,ἔρεισμα Ἀθῆναι ἕ δέ πίμπλημι ἐγγυάω,,58.0
Ξένος,τόνδ᾽ ἱππότην Κολωνὸν εὔχονται σφίσιν,ὅδε ἱππότης κολωνός εὔχομαι σφεῖς,,59.0
Ξένος,ἀρχηγὸν εἶναι καὶ φέρουσι τοὔνομα,ἀρχηγός εἰμί καί φέρω ὄνομα,60,60.0
Ξένος,τὸ τοῦδε κοινὸν πάντες ὠνομασμένοι.,ὁ ὅδε κοινός πᾶς ὀνομάζω,,61.0
Ξένος,"τοιαῦτά σοι ταῦτ᾽ ἐστίν, ὦ ξέν᾽, οὐ λόγοις",τοιοῦτος σός οὗτος εἰμί εἰμί ξένη οὐ λόγος,,62.0
Ξένος,"τιμώμεν᾽, ἀλλὰ τῇ ξυνουσίᾳ πλέον.",τιμάω ἄλλος ὁ οὐσιάζω πλέος,,63.0
Οἰδίπους,ἦ γάρ τινες ναίουσι τούσδε τοὺς τόπους;,εἰμί γάρ τίνω ναίω ὅδε ὁ τόπος,,64.0
Ξένος,"καὶ κάρτα, τοῦδε τοῦ θεοῦ γ᾽ ἐπώνυμοι.",καί κάρτα ὅδε ὁ θεάομαι γε ἐπώνυμος,65,65.0
Οἰδίπους,ἄρχει τις αὐτῶν ἢ 'πὶ τῷ πλήθει λόγος;,ἄρχω τίς αὐτός εἰμί ἐπί ὁ πλήθω λόγος,,66.0
Ξένος,ἐκ τοῦ κατ᾽ ἄστυ βασιλέως τάδ᾽ ἄρχεται.,ἐκ ὁ κάτος ἄστυ βασιλεύς ὅδε ἄρχω,,67.0
Οἰδίπους,οὗτος δὲ τίς λόγῳ τε καὶ σθένει κρατεῖ;,οὗτος δέ τίς λόγος σύ καί σθένος κράτος,,68.0
Ξένος,"Θησεὺς καλεῖται, τοῦ πρὶν Αἰγέως τόκος.",Θησεύς καλέω ὁ πρίν αἴγεος τόκος,,69.0
Οἰδίπους,ἆρ᾽ ἄν τις αὐτῷ πομπὸς ἐξ ὑμῶν μόλοι;,ἄρα ἄν τίς αὐτός πομπός ἐξ σύ βλώσκω,70,70.0
Ξένος,ὡς πρὸς τί λέξων ἢ καταρτύσων μολεῖν;,ὅς πρός τίς λέγω εἰμί καταρτύω βλώσκω,,71.0
Οἰδίπους,ὡς ἂν προσαρκῶν σμικρὰ κερδάνῃ μέγα.,ὅς ἄν προσαρκέω μικρός κερδαίνω Μέγης,,72.0
Ξένος,καὶ τίς πρὸς ἀνδρὸς μὴ βλέποντος ἄρκεσις;,καί τίς πρός ἀνήρ μή βλέπω ἄρκεσις,,73.0
Οἰδίπους,ὅσ᾽ ἂν λέγωμεν πάνθ᾽ ὁρῶντα λέξομεν.,ὅσος ἄν λέγω πάντῃ ὁράω λέγω,,74.0
Ξένος,"οἶσθ᾽, ὦ ξέν᾽, ὡς νῦν μὴ σφαλῇς; ἐπείπερ εἰ",ὀιστός εἰμί ξένη ὅς νῦν μή σφάλλω ἐπεί εἰ,75,75.0
Ξένος,"γενναῖος, ὡς ἰδόντι, πλὴν τοῦ δαίμονος,",γενναῖος ὅς εἶδον πλέω ὁ δαίμων,,76.0
Ξένος,"αὐτοῦ μέν᾽ οὗπερ κἀφάνης, ἕως ἐγὼ",αὐτός μένω οὗπερ ἀφανέω ἕως ἐγώ,,77.0
Ξένος,τοῖς ἐνθάδ᾽ αὐτοῦ μὴ κατ᾽ ἄστυ δημόταις,ὁ ἐνθάδε αὐτός μή κάτος ἄστυ δημότης,,78.0
Ξένος,λέξω τάδ᾽ ἐλθών:  οἵδε γὰρ κρινοῦσί σοι,λέγω ὅδε ἔρχομαι ὅδε γάρ κρίνω σός,,79.0
Ξένος,εἰ χρή σε μίμνειν ἢ πορεύεσθαι πάλιν.,εἰ χράω σός μίμνω εἰμί πορεύω πάλιν,80,80.0
Οἰδίπους,"ὦ τέκνον, ἦ βέβηκεν ἡμὶν ὁ ξένος;",εἰμί τέκνον εἰμί βαίνω ἐγώ ὅς ξένος,,81.0
Ἀντιγόνη,"βέβηκεν, ὥστε πᾶν ἐν ἡσύχῳ, πάτερ,",βαίνω ὥστε Πάν ἐν ἥσυχος πατήρ,,82.0
Ἀντιγόνη,"ἔξεστι φωνεῖν, ὡς ἐμοῦ μόνης πέλας.",ἔξεστι φωνέω ὅς ἐγώ μόνος πέλας,,83.0
Οἰδίπους,"ὦ πότνιαι δεινῶπες, εὖτε νῦν ἕδρας",εἰμί Ποτνιαί δεινώψ εὖτε νῦν ἕδρα,,84.0
Οἰδίπους,"πρώτων ἐφ᾽ ὑμῶν τῆσδε γῆς ἔκαμψ᾽ ἐγώ,",πρότερος ἐπί σύ ὅδε γῆ κάμπτω ἐγώ,85,85.0
Οἰδίπους,"Φοίβῳ τε κἀμοὶ μὴ γένησθ᾽ ἀγνώμονες,",Φοῖβος σύ ἁμός μή γίγνομαι ἀγνώμων,,86.0
Οἰδίπους,"ὅς μοι, τὰ πόλλ᾽ ἐκεῖν᾽ ὅτ᾽ ἐξέχρη κακά,",ὅς ἐγώ ὁ πολύς ἐκεῖνος ὅστε χράω κάκη,,87.0
Οἰδίπους,"ταύτην ἔλεξε παῦλαν ἐν χρόνῳ μακρῷ,",οὗτος λέγω παῦλα ἐν χρόνος μακρός,,88.0
Οἰδίπους,"ἐλθόντι χώραν τερμίαν, ὅπου θεῶν",ἔρχομαι χώρα τέρμιος ὅπου θέα,,89.0
Οἰδίπους,"σεμνῶν ἕδραν λάβοιμι καὶ ξενόστασιν,",σεμνόν ἕδρα λαμβάνω καί ξενόστασις,90,90.0
Οἰδίπους,"ἐνταῦθα κάμψειν τὸν ταλαίπωρον βίον,",ἐνταῦθα κάμπτω ὁ ταλαίπωρος βίος,,91.0
Οἰδίπους,"κέρδη μὲν οἰκήσαντα τοῖς δεδεγμένοις,",κέρδος μέν οἰκέω ὁ δέχομαι,,92.0
Οἰδίπους,"ἄτην δὲ τοῖς πέμψασιν, οἵ μ᾽ ἀπήλασαν:",ἄτη δέ ὁ πέμπω ἕ ἐγώ ἀπελαύνω,,93.0
Οἰδίπους,"σημεῖα δ᾽ ἥξειν τῶνδέ μοι παρηγγύα,",σημεία δέ ἥκω ὅδε ἐγώ παρεγγυάω,,94.0
Οἰδίπους,"ἢ σεισμὸν ἢ βροντήν τιν᾽ ἢ Διὸς σέλας,",εἰμί σεισμός εἰμί βρόντης τίνω εἰμί Δῖος σέλας,95,95.0
Οἰδίπους,ἔγνωκα μέν νυν ὥς με τήνδε τὴν ὁδὸν,γιγνώσκω μέν νῦν ὅς ἐγώ ὅδε ὁ ὁδός,,96.0
Οἰδίπους,οὐκ ἔσθ᾽ ὅπως οὐ πιστὸν ἐξ ὑμῶν πτερὸν,οὐ ἔσθω ὅπως οὐ πιστόν ἐξ σύ πτερόν,,97.0
Οἰδίπους,ἐξήγαγ᾽ εἰς τόδ᾽ ἄλσος:  οὐ γὰρ ἄν ποτε,ἐξάγω εἶμι ὅδε ἄλσος οὐ γάρ ἄν πότε,,98.0
Οἰδίπους,"πρώταισιν ὑμῖν ἀντέκυρσ᾽ ὁδοιπορῶν,",πρότερος σύ ἀντικύρω ὁδοίπορος,,99.0
Οἰδίπους,"νήφων ἀοίνοις, κἀπὶ σεμνὸν ἑζόμην",νήφω ἄοινος ἐπί σεμνόν ἕζομαι,100,100.0
Οἰδίπους,"βάθρον τόδ᾽ ἀσκέπαρνον.  ἀλλά μοι, θεαί,",βάθρον ὅδε ἀσκέπαρνος ἄλλος ἐγώ θέα,,101.0
Οἰδίπους,βίου κατ᾽ ὀμφὰς τὰς Ἀπόλλωνος δότε,βίος κάτος ὀμφή ὁ Ἀπόλλων δίδωμι,,102.0
Οἰδίπους,"πέρασιν ἤδη καὶ καταστροφήν τινα,",πέρας ἤδη καί καταστροφή τίς,,103.0
Οἰδίπους,"εἰ μὴ δοκῶ τι μειόνως ἔχειν, ἀεὶ",εἰ μή δόκος τίς μείων ἔχω ἀεί,,104.0
Οἰδίπους,μόχθοις λατρεύων τοῖς ὑπερτάτοις βροτῶν.,μόχθος λατρεύω ὁ ὑπέρ βρότος,105,105.0
Οἰδίπους,"ἴτ᾽, ὦ γλυκεῖαι παῖδες ἀρχαίου Σκότου,",εἶμι εἰμί γλύκειος παῖς ἀρχαῖος σκότος,,106.0
Οἰδίπους,"ἴτ᾽, ὦ μεγίστης Παλλάδος καλούμεναι",εἶμι εἰμί μέγας Παλλάς καλέω,,107.0
Οἰδίπους,"πασῶν Ἀθῆναι τιμιωτάτη πόλις,",πᾶς Ἀθῆναι τίμιος πόλις,,108.0
Οἰδίπους,οἰκτίρατ᾽ ἀνδρὸς Οἰδίπου τόδ᾽ ἄθλιον,οἰκτείρω ἀνήρ Οἰδίπους ὅδε ἄθλιος,,109.0
Οἰδίπους,εἴδωλον:  οὐ γὰρ δὴ τόδ᾽ ἀρχαῖον δέμας.,εἴδωλον οὐ γάρ Δεύς ὅδε ἀρχαῖος δέμας,110,110.0
Ἀντιγόνη,σίγα:  πορεύονται γὰρ οἵδε δή τινες,σῖγα πορεύω γάρ ὅδε Δεύς τίνω,,111.0
Ἀντιγόνη,"χρόνῳ παλαιοί, σῆς ἕδρας ἐπίσκοποι.",χρόνος παλαίω σής ἕδρα ἐπίσκοπος,,112.0
Οἰδίπους,σιγήσομαί τε καὶ σύ μ᾽ ἐξ ὁδοῦ πόδα,σιγάω σύ καί σύ ἐγώ ἐξ ὁδάω πούς,,113.0
Οἰδίπους,"κρύψον κατ᾽ ἄλσος, τῶνδ᾽ ἕως ἂν ἐκμάθω",κρύπτω κάτος ἄλσος ὅδε ἕως ἄν ἐκμανθάνω,,114.0
Οἰδίπους,τίνας λόγους ἐροῦσιν:  ἐν γὰρ τῷ μαθεῖν,τίς λόγος ἐρέω ἐν γάρ ὁ μανθάνω,115,115.0
Οἰδίπους,ἔνεστιν ηὑλάβεια τῶν ποιουμένων.,εἰμί εὐλάβεια ὁ ποιέω,,116.0
Χορός,ὅρα.  τίς ἄρ᾽ ἦν;  ποῦ ναίει;,ὁράω τίς ἄρα ἐάν πού ναίω,,117.0
Χορός,ποῦ κυρεῖ ἐκτόπιος συθεὶς ὁ πάντων,πού κῦρος ἐκτόπιος σεύω ὅς πᾶς,,118.0
Χορός,ὁ πάντων ἀκορέστατος;,ὅς πᾶς ἀκόρεστος,120,120.0
Χορός,"προσδέρκου λεῦσσέ νιν,",προσδέρκομαι λεύσσω νιν,,121.0
Χορός,προσπεύθου πανταχῇ.,προσπεύθομαι πανταχῆ,,122.0
Χορός,πλανάτας πλανάτας τις ὁ πρέσβυς οὐδ᾽,πλανήτης πλανήτης τίς ὅς πρέσβυς οὐδέ,,123.0
Χορός,ἔγχωρος:  προσέβα γὰρ οὐκ,ἔγχωρος προσβαίνω γάρ οὐ,125,125.0
Χορός,ἄν ποτ᾽ ἀστιβὲς ἄλσος ἐς,ἄν πότε ἀστιβής ἄλσος εἰς,,126.0
Χορός,"τᾶνδ᾽ ἀμαιμακετᾶν κορᾶν,",ὅδε ἀμαιμάκετος κόρη,,127.0
Χορός,ἃς τρέμομεν λέγειν,ἕως τρέμω λέγω,,128.0
Χορός,"καὶ παραμειβόμεσθ᾽ ἀδέρκτως,",καί παραμείβω ἄδερκτος,130,130.0
Χορός,"ἀφώνως, ἀλόγως τὸ τᾶς.",ἄφωνος ἄλογος ὁ ὁ,,131.0
Χορός,εὐφάμου στόμα φροντίδος,εὔφημος στόμα φροντίς,,132.0
Χορός,"ἱέντες, τὰ δὲ νῦν τιν᾽ ἥκειν",ἵημι ὁ δέ νῦν τίνω ἥκω,,133.0
Χορός,"λόγος οὐδὲν ἅζονθ᾽,",λόγος οὐδείς ἅζομαι,,134.0
Χορός,ὃν ἐγὼ λεύσσων περὶ πᾶν οὔπω,ὅς ἐγώ λεύσσω περί Πάν οὔπω,135,135.0
Χορός,δύναμαι τέμενος,δύναμαι τέμενος,,136.0
Χορός,γνῶναι ποῦ μοί ποτε ναίει.,γιγνώσκω πού ἐγώ πότε ναίω,,137.0
Οἰδίπους,"ὅδ᾽ ἐκεῖνος ἐγώ:  φωνῇ γὰρ ὁρῶ,",ὅδε ἐκεῖνος ἐγώ φωνέω γάρ ὅρος,,138.0
Οἰδίπους,τὸ φατιζόμενον.,ὁ φατίζω,,139.0
Χορός,"ἰὼ ἰώ,",Ἰώ Ἰώ,140,140.0
Χορός,"δεινὸς μὲν ὁρᾶν, δεινὸς δὲ κλύειν.",δεῖνα μέν ὁράω δεῖνα δέ κλύω,,141.0
Οἰδίπους,"μή μ᾽, ἱκετεύω, προσίδητ᾽ ἄνομον.",μή ἐγώ ἱκετεύω προσεῖδον ἄνομος,,142.0
Χορός,"Ζεῦ ἀλεξῆτορ, τίς ποθ᾽ ὁ πρέσβυς;",Ζεύς ἀλεξήτωρ τίς πόθι ὅς πρέσβυς,,143.0
Οἰδίπους,οὐ πάνυ μοίρας εὐδαιμονίσαι,οὐ πάνυ μοῖρα εὐδαιμονίζω,,144.0
Οἰδίπους,"πρώτης, ὦ τῆσδ᾽ ἔφοροι χώρας.",πρότερος εἰμί ὅδε ἔφορος χώρα,145,145.0
Οἰδίπους,δηλῶ δ᾽:  οὐ γὰρ ἂν ὧδ᾽ ἀλλοτρίοις,Δῆλος δέ οὐ γάρ ἄν ὧδε ἀλλότριος,,146.0
Οἰδίπους,ὄμμασιν εἷρπον,ὄμμα ἕρπω,,147.0
