Name,Speech,Lemmas,verse_number,inferred_verse_number
Ἀντιγόνη,φόνον προκεῖσθαι δημόλευστον ἐν πόλει.,φόνος πρόκειμαι δημόλευστος ἐν πόλις,,36.0
Ἀντιγόνη,"οὕτως ἔχει σοι ταῦτα, καὶ δείξεις τάχα",οὕτως ἔχις σός οὗτος καί δείκνυμι τάχα,,37.0
Ἀντιγόνη,εἴτ᾽ εὐγενὴς πέφυκας εἴτ᾽ ἐσθλῶν κακή.,εἴτε εὐγενής φύω εἴτε ἐσθλός κάκη,,38.0
Ἰσμήνη,"τί δ᾽, ὦ ταλαῖφρον, εἰ τάδ᾽ ἐν τούτοις, ἐγὼ",τίς δέ εἰμί ταλαίφρων εἰ ὅδε ἐν οὗτος ἐγώ,,39.0
Ἰσμήνη,λύουσ᾽ ἂν ἢ 'φάπτουσα προσθείμην πλέον;,λύω ἄν εἰμί ἀπάπτω προσθέω πλέος,40,40.0
Ἀντιγόνη,εἰ ξυμπονήσεις καὶ ξυνεργάσει σκόπει.,εἰ συμπονέω καί συνεργάζομαι σκοπάω,,41.0
Ἰσμήνη,ποῖόν τι κινδύνευμα; ποῦ γνώμης ποτ᾽ εἰ;,ποῖος τίς κινδύνευμα πού γνώμη πότε εἰ,,42.0
Ἀντιγόνη,εἰ τὸν νεκρὸν ξὺν τῇδε κουφιεῖς χερί.,εἰ ὁ νεκρός σύν ὅδε κουφίζω χείρ,,43.0
Ἰσμήνη,"ἢ γὰρ νοεῖς θάπτειν σφ᾽, ἀπόρρητον πόλει;",εἰμί γάρ νοέω θάπτω ἕπομαι ἀπόρρητος πόλις,,44.0
Ἀντιγόνη,τὸν γοῦν ἐμὸν καὶ τὸν σόν ἢν σὺ μὴ θέλῃς,ὁ γοῦν ἐμός καί ὁ σός ἐάν σύ μή ἐθέλω,45,45.0
Ἀντιγόνη,ἀδελφόν:  οὐ γὰρ δὴ προδοῦσ᾽ ἁλώσομαι.,ἀδελφός οὐ γάρ Δεύς προδίδωμι ἁλίσκομαι,,46.0
Ἰσμήνη,"ὦ σχετλία, Κρέοντος ἀντειρηκότος;",εἰμί σχέτλιος κρέων ἀντερῶ,,47.0
Ἀντιγόνη,ἀλλ᾽ οὐδὲν αὐτῷ τῶν ἐμῶν μ᾽ εἴργειν μέτα.,ἄλλος οὐδείς αὐτός ὁ ἐμέω ἐγώ ἔργω μετά,,48.0
Ἰσμήνη,"οἴμοι.  φρόνησον, ὦ κασιγνήτη, πατὴρ",οἴμοι φρονέω εἰμί κασιγνήτη πατήρ,,49.0
Ἰσμήνη,"ὡς νῷν ἀπεχθὴς δυσκλεής τ᾽ ἀπώλετο,",ὅς ἐγώ ἀπεχθής δυσκλεής σύ ἀπόλλυμι,50,50.0
Ἰσμήνη,πρὸς αὐτοφώρων ἀμπλακημάτων διπλᾶς,πρός αὐτόφωρος ἀμπλάκημα διπλάζω,,51.0
Ἰσμήνη,ὄψεις ἀράξας αὐτὸς αὐτουργῷ χερί.,ὄψις ἀράξα αὐτός αὐτουργός χείρ,,52.0
Ἰσμήνη,"ἔπειτα μήτηρ καὶ γυνή, διπλοῦν ἔπος,",ἔπειτα μήτηρ καί γυνή διπλόος ἔπος,,53.0
Ἰσμήνη,πλεκταῖσιν ἀρτάναισι λωβᾶται βίον:,πλεκτή ἀρτάνη λωβάομαι βίος,,54.0
