Name,Speech,Lemmas,verse_number,inferred_verse_number
Νεοπτόλεμος,"αὐτόξυλόν γ᾽ ἔκπωμα, φλαυρουργοῦ τινος",αὐτόξυλος γε ἔκπωμα φλαυρουργός τίς,35,35.0
Νεοπτόλεμος,"τεχνήματ᾽ ἀνδρός, καὶ πυρεῖ᾽ ὁμοῦ τάδε.",τέχνημα ἀνήρ καί πυρεῖον ὁμός ὅδε,,36.0
Ὀδυσσεύς,κείνου τὸ θησαύρισμα σημαίνεις τόδε.,ἐκεῖνος ὁ θησαύρισμα σημαίνω ὅδε,,37.0
Νεοπτόλεμος,ἰοὺ ἰού:  καὶ ταῦτά γ᾽ ἄλλα θάλπεται,Ἰώ Ἰώ καί οὗτος γε ἄλλος θάλπω,,38.0
Νεοπτόλεμος,"ῥάκη, βαρείας του νοσηλείας πλέα.",ῥάκος βαρύς ὁ νοσηλεία πλέος,,39.0
Ὀδυσσεύς,"ἁνὴρ κατοικεῖ τούσδε τοὺς τόπους σαφῶς,",ἀνήρ κατοικέω ὅδε ὁ τόπος σαφής,40,40.0
Ὀδυσσεύς,κἄστ᾽ οὐχ ἑκάς που: πῶς γὰρ ἂν νοσῶν ἀνὴρ,ἀστή οὐ ἑκάς πού πῶς γάρ ἄν νόσος ἀνήρ,,41.0
Ὀδυσσεύς,κῶλον παλαιᾷ κηρὶ προσβαίη μακράν;,κῶλον παλαιός Κήρ προσβαίνω μάκρα,,42.0
Ὀδυσσεύς,ἀλλ᾽ ἢ 'πὶ φορβῆς νόστον ἐξελήλυθεν,ἄλλος εἰμί ἐπί φορβή νόστος ἐξέρχομαι,,43.0
Ὀδυσσεύς,ἢ φύλλον εἴ τι νώδυνον κάτοιδέ που.,εἰμί φύλλον εἰ τίς νώδυνος κάτοιδα πού,,44.0
Ὀδυσσεύς,"τὸν οὖν παρόντα πέμψον εἰς κατασκοπήν,",ὁ οὖν πάρειμι πέμπω εἶμι κατασκοπέω,45,45.0
Ὀδυσσεύς,μὴ καὶ λάθῃ με προσπεσών: ὡς μᾶλλον ἂν,μή καί λανθάνω ἐγώ προσπίτνω ὅς μᾶλλον ἄν,,46.0
Ὀδυσσεύς,ἕλοιτό μ᾽ ἢ τοὺς πάντας Ἀργείους λαβεῖν.,αἱρέω ἐγώ εἰμί ὁ πᾶς Ἀργεῖος λαμβάνω,,47.0
Νεοπτόλεμος,ἀλλ᾽ ἔρχεταί τε καὶ φυλάξεται στίβος.,ἄλλος ἔρχομαι σύ καί φυλάσσω στίβος,,48.0
Νεοπτόλεμος,"σὺ δ᾽, εἴ τι χρῄζεις, φράζε δευτέρῳ λόγῳ.",σύ δέ εἰ τίς χρῄζω φράζω δεύτερος λόγος,,49.0
Ὀδυσσεύς,"Ἀχιλλέως παῖ, δεῖ σ᾽ ἐφ᾽ οἷς ἐλήλυθας",Ἀχιλλεύς παῖς Δεύς σός ἐπί ὅς ἔρχομαι,50,50.0
Ὀδυσσεύς,"γενναῖον εἶναι, μὴ μόνον τῷ σώματι,",γενναῖος εἰμί μή μόνος ὁ σῶμα,,51.0
Ὀδυσσεύς,ἀλλ᾽ ἤν τι καινὸν ὧν πρὶν οὐκ ἀκήκοας,ἄλλος ἐάν τίς Καινόν ὅς πρίν οὐ ἀκούω,,52.0
Ὀδυσσεύς,"κλύῃς, ὑπουργεῖν, ὡς ὑπηρέτης πάρει.",κλύω ὑπουργέω ὅς ὑπηρέτης πάρειμι,,53.0
Νεοπτόλεμος,τί δῆτ᾽ ἄνωγας;,τίς δέομαι ἄνωγα,,54.0
Ὀδυσσεύς,τὴν Φιλοκτήτου σε δεῖ,ὁ Φιλοκτήτης σός Δεύς,,55.0
Ὀδυσσεύς,ψυχὴν ὅπως δόλοισιν ἐκκλέψεις λέγων.,ψύχω ὅπως δόλος ἐκκλέπτω λέγος,55,55.5
Ὀδυσσεύς,"ὅταν σ᾽ ἐρωτᾷ τίς τε καὶ πόθεν πάρει,",ὅταν σός ἐρωτάω τίς σύ καί πίνω πάρειμι,,56.0
Ὀδυσσεύς,"λέγειν, Ἀχιλλέως παῖς: τόδ᾽ οὐχὶ κλεπτέον:",λέγω Ἀχιλλεύς πᾶς ὅδε οὐ κλεπτέον,,57.0
Ὀδυσσεύς,"πλεῖς δ᾽ ὡς πρὸς οἶκον, ἐκλιπὼν τὸ ναυτικὸν",πλέω δέ ὅς πρός οἶκος ἐκλείπω ὁ ναυτικός,,58.0
Ὀδυσσεύς,"στράτευμ᾽ Ἀχαιῶν, ἔχθος ἐχθήρας μέγα,",στράτευμα Ἀχαιός ἔχθος ἐχθαίρω Μέγης,,59.0
Ὀδυσσεύς,"οἵ σ᾽ ἐν λιταῖς στείλαντες ἐξ οἴκων μολεῖν,",ἕ σός ἐν λιτή στέλλω ἐξ οἶκος βλώσκω,60,60.0
Ὀδυσσεύς,"μόνην ἔχοντες τήνδ᾽ ἅλωσιν Ἰλίου,",μόνος ἔχω ὅδε ἅλων Ἴλιος,,61.0
Ὀδυσσεύς,οὐκ ἠξίωσαν τῶν Ἀχιλλείων ὅπλων,οὐ ἀξιόω ὁ Ἀχίλλειος ὅπλον,,62.0
Ὀδυσσεύς,"ἐλθόντι δοῦναι κυρίως αἰτουμένῳ,",ἔρχομαι δίδωμι κύριος αἰτέω,,63.0
Ὀδυσσεύς,ἀλλ᾽ αὔτ᾽ Ὀδυσσεῖ παρέδοσαν: λέγων ὅσ᾽ ἂν,ἄλλος αὖτε Ὀδυσσεύς παραδίδωμι λέγος ὅσος ἄν,,64.0
Ὀδυσσεύς,θέλῃς καθ᾽ ἡμῶν ἔσχατ᾽ ἐσχάτων κακά.,ἐθέλω κάτος ἐγώ ἔσχατος ἔσχατος κάκη,65,65.0
Ὀδυσσεύς,τούτῳ γὰρ οὐδέν μ᾽ ἀλγυνεῖς: εἰ δ᾽ ἐργάσει,οὗτος γάρ οὐδείς ἐγώ ἀλγύνω εἰ δέ ἔργασις,,66.0
Ὀδυσσεύς,"μὴ ταῦτα, λύπην πᾶσιν Ἀργείοις βαλεῖς.",μή οὗτος λύπη πᾶς Ἀργεῖος βάλλω,,67.0
Ὀδυσσεύς,"εἰ γὰρ τὰ τοῦδε τόξα μὴ ληφθήσεται,",εἰ γάρ ὁ ὅδε τόξον μή λαμβάνω,,68.0
Ὀδυσσεύς,οὐκ ἔστι πέρσαι σοι τὸ Δαρδάνου πέδον.,οὐ εἰμί Πέρσης σός ὁ Δάρδανος μέτειμι,,69.0
Ὀδυσσεύς,"ὡς δ᾽ ἔστ᾽ ἐμοὶ μὲν οὐχί, σοὶ δ᾽ ὁμιλία",ὅς δέ ἔστε ἐγώ μέν οὐ σός δέ ὁμιλία,70,70.0
Ὀδυσσεύς,"πρὸς τόνδε πιστὴ καὶ βέβαιος, ἔκμαθε.",πρός ὅδε πίστις καί βέβαιος ἐκμανθάνω,,71.0
Ὀδυσσεύς,σὺ μὲν πέπλευκας οὔτ᾽ ἔνορκος οὐδενὶ,σύ μέν πλέω οὔτε ἔνορκος οὐδείς,,72.0
Ὀδυσσεύς,οὔτ᾽ ἐξ ἀνάγκης οὔτε τοῦ πρώτου στόλου:,οὔτε ἐξ ἀνάγκη οὔτε ὁ πρότερος στόλος,,73.0
Ὀδυσσεύς,ἐμοὶ δὲ τούτων οὐδέν ἐστ᾽ ἀρνήσιμον.,ἐγώ δέ οὗτος οὐδείς ἔστε ἀρνήσιμος,,74.0
Ὀδυσσεύς,"ὥστ᾽ εἴ με τόξων ἐγκρατὴς αἰσθήσεται,",ὥστε εἰ ἐγώ τόξον ἐγκρατέω αἰσθάνομαι,75,75.0
Ὀδυσσεύς,ὄλωλα καὶ σὲ προσδιαφθερῶ ξυνών.,ὄλλυμι καί σός προσδιαφθείρω ξυνός,,76.0
Ὀδυσσεύς,"ἀλλ᾽ αὐτὸ τοῦτο δεῖ σοφισθῆναι, κλοπεὺς",ἄλλος αὐτός οὗτος Δεύς σοφίζω κλοπεύς,,77.0
Ὀδυσσεύς,ὅπως γενήσει τῶν ἀνικήτων ὅπλων.,ὅπως γίγνομαι ὁ ἀνίκητος ὅπλον,,78.0
Ὀδυσσεύς,"ἔξοιδα, παῖ, φύσει σε μὴ πεφυκότα",ἔξοιδα παῖς φύσις σός μή φύω,,79.0
Ὀδυσσεύς,τοιαῦτα φωνεῖν μηδὲ τεχνᾶσθαι κακά:,τοιοῦτος φωνέω Μῆδος τεχνάομαι κάκη,80,80.0
Ὀδυσσεύς,"ἀλλ᾽ ἡδὺ γάρ τι κτῆμα τῆς νίκης λαβεῖν,",ἄλλος ἡδύς γάρ τίς κτῆμα ὁ Νικεύς λαμβάνω,,81.0
Ὀδυσσεύς,τόλμα: δίκαιοι δ᾽ αὖθις ἐκφανούμεθα.,τόλμα δίκαιος δέ αὖθις ἐκφαίνω,,82.0
Ὀδυσσεύς,νῦν δ᾽ εἰς ἀναιδὲς ἡμέρας μέρος βραχὺ,νῦν δέ εἶμι ἀναιδής ἥμερος μέρος βραχύς,,83.0
Ὀδυσσεύς,"δός μοι σεαυτόν, κᾆτα τὸν λοιπὸν χρόνον",δίδωμι ἐγώ ἀίτας ὁ λοιπός χρόνος,,84.0
Ὀδυσσεύς,κέκλησο πάντων εὐσεβέστατος βροτῶν.,καλέω πᾶς εὐσεβής βρότος,85,85.0
Νεοπτόλεμος,"ἐγὼ μὲν οὓς ἂν τῶν λόγων ἀλγῶ κλύων,",ἐγώ μέν ὅς ἄν ὁ λόγος ἀλγέω κλύω,,86.0
Νεοπτόλεμος,"Λαερτίου παῖ, τούσδε καὶ πράσσειν στυγῶ:",Λαέρτης παῖς ὅδε καί πράσσω στυγέω,,87.0
Νεοπτόλεμος,"ἔφυν γὰρ οὐδὲν ἐκ τέχνης πράσσειν κακῆς,",φύω γάρ οὐδείς ἐκ τέχνη πράσσω κάκη,,88.0
Νεοπτόλεμος,"οὔτ᾽ αὐτὸς οὔθ᾽, ὥς φασιν, οὑκφύσας ἐμέ.",οὔτε αὐτός οὔτε ὅς φάσις ἐκφύω ἐγώ,,89.0
Νεοπτόλεμος,ἀλλ᾽ εἴμ᾽ ἑτοῖμος πρὸς βίαν τὸν ἄνδρ᾽ ἄγειν,ἄλλος εἶμι ἑτοῖμος πρός Βίας ὁ ἀνδρίς ἄγω,90,90.0
Νεοπτόλεμος,καὶ μὴ δόλοισιν: οὐ γὰρ ἐξ ἑνὸς ποδὸς,καί μή δόλος οὐ γάρ ἐξ ἕνος πούς,,91.0
Νεοπτόλεμος,ἡμᾶς τοσούσδε πρὸς βίαν χειρώσεται.,ἐγώ τοσόσδε πρός Βίας χειρόω,,92.0
Νεοπτόλεμος,πεμφθείς γε μέντοι σοὶ ξυνεργάτης ὀκνῶ,πέμπω γε μέντοι σός συνεργάτης ὄκνος,,93.0
Νεοπτόλεμος,"προδότης καλεῖσθαι: βούλομαι δ᾽, ἄναξ, καλῶς",προδότης καλέω βούλομαι δέ Ἄνακες κάλως,,94.0
Νεοπτόλεμος,δρῶν ἐξαμαρτεῖν μᾶλλον ἢ νικᾶν κακῶς.,δράω ἐξαμαρτάνω μᾶλλον εἰμί νίκη κακός,95,95.0
Ὀδυσσεύς,"ἐσθλοῦ πατρὸς παῖ, καὐτὸς ὢν νέος ποτὲ",ἐσθλός πατήρ παῖς αὐτός εἰμί ναῦς πότε,,96.0
Ὀδυσσεύς,"γλῶσσαν μὲν ἀργόν, χεῖρα δ᾽ εἶχον ἐργάτιν:",γλῶσσα μέν Ἄργος χείρ δέ ἔχω ἔργατις,,97.0
Ὀδυσσεύς,νῦν δ᾽ εἰς ἔλεγχον ἐξιὼν ὁρῶ βροτοῖς,νῦν δέ εἶμι ἔλεγχος ἔξειμι2 ὅρος βρότος,,98.0
Ὀδυσσεύς,"τὴν γλῶσσαν, οὐχὶ τἄργα, πάνθ᾽ ἡγουμένην.",ὁ γλῶσσα οὐ ἀργός πάντῃ ἡγέομαι,,99.0
Νεοπτόλεμος,τί μ᾽ οὖν ἄνωγας ἄλλο πλὴν ψευδῆ λέγειν;,τίς ἐγώ οὖν ἄνωγα ἄλλος πλέω ψεῦδις λέγω,100,100.0
Ὀδυσσεύς,λέγω σ᾽ ἐγὼ δόλῳ Φιλοκτήτην λαβεῖν.,λέγος σός ἐγώ δόλος Φιλοκτήτης λαμβάνω,,101.0
Νεοπτόλεμος,τί δ᾽ ἐν δόλῳ δεῖ μᾶλλον ἢ πείσαντ᾽ ἄγειν;,τίς δέ ἐν δόλος Δεύς μᾶλλον εἰμί πείθω ἄγω,,102.0
Ὀδυσσεύς,οὐ μὴ πίθηται:  πρὸς βίαν δ᾽ οὐκ ἂν λάβοις.,οὐ μή πείθω πρός Βίας δέ οὐ ἄν λαμβάνω,,103.0
Νεοπτόλεμος,οὕτως ἔχει τι δεινὸν ἰσχύος θράσος;,οὕτως ἔχις τίς δεῖνος Ἴσχυς θράσος,,104.0
Ὀδυσσεύς,ἰούς γ᾽ ἀφύκτους καὶ προπέμποντας φόνον.,ἰός γε ἄφυκτος καί προπέμπω φόνος,105,105.0
Νεοπτόλεμος,οὐκ ἆρ᾽ ἐκείνῳ γ᾽ οὐδὲ προσμῖξαι θρασύ;,οὐ ἄρα ἐκεῖνος γε οὐδέ προσμείγνυμι θρασύς,,106.0
Ὀδυσσεύς,"οὔ, μὴ δόλῳ λαβόντα γ᾽, ὡς ἐγὼ λέγω.",οὐ μή δόλος λαμβάνω γε ὅς ἐγώ λέγος,,107.0
Νεοπτόλεμος,οὐκ αἰσχρὸν ἡγεῖ δῆτα τὸ ψευδῆ λέγειν;,οὐ αἰσχρός ἡγέομαι δῆτα ὁ ψεῦδις λέγω,,108.0
Ὀδυσσεύς,"οὔκ, εἰ τὸ σωθῆναί γε τὸ ψεῦδος φέρει.",οὐ εἰ ὁ σώζω γε ὁ ψεῦδος φέρω,,109.0
Νεοπτόλεμος,πῶς οὖν βλέπων τις ταῦτα τολμήσει λακεῖν;,πῶς οὖν βλέπος τίς οὗτος τόλμησις λάσκω,110,110.0
Ὀδυσσεύς,"ὅταν τι δρᾷς εἰς κέρδος, οὐκ ὀκνεῖν πρέπει.",ὅταν τίς δράω εἶμι κέρδος οὐ ὀκνέω πρέπω,,111.0
Νεοπτόλεμος,κέρδος δ᾽ ἐμοὶ τί τοῦτον ἐς Τροίαν μολεῖν;,κέρδος δέ ἐγώ τίς οὗτος εἰς Τροία βλώσκω,,112.0
Ὀδυσσεύς,αἱρεῖ τὰ τόξα ταῦτα τὴν Τροίαν μόνα.,αἱρέω ὁ τόξον οὗτος ὁ Τροία μόνος,,113.0
Νεοπτόλεμος,"οὐκ ἆρ᾽ ὁ πέρσων, ὡς ἐφάσκετ᾽, εἴμ᾽ ἐγώ;",οὐ ἄρα ὅς πέρθω ὅς φάσκω εἶμι ἐγώ,,114.0
Ὀδυσσεύς,οὔτ᾽ ἂν σὺ κείνων χωρὶς οὔτ᾽ ἐκεῖνα σοῦ.,οὔτε ἄν σύ ἐκεῖνος χωρίς οὔτε ἐκεῖνος σεύω,115,115.0
