Name,Speech,verse_number,inferred_verse_number,lemmata
Ὀρέστης,δόλοισι κλέψαι χειρὸς ἐνδίκους σφαγάς.,,37.0,δόλος κλέπτω χείρ ἔνδικος σφαγή
Ὀρέστης,"ὅτ᾽ οὖν τοιόνδε χρησμὸν εἰσηκούσαμεν,",,38.0,ὅτ οὖν τοιόσδε χρησμός εἰσακούω
Ὀρέστης,"σὺ μὲν μολών, ὅταν σε καιρὸς εἰσάγῃ,",,39.0,σύ μέν βλώσκω ὅταν σύ καιρός εἰσάγω
Ὀρέστης,"δόμων ἔσω τῶνδ᾽, ἴσθι πᾶν τὸ δρώμενον,",40.0,40.0,δόμος ἔσω τῶνδ εἰμί πᾶς ὁ δράω
Ὀρέστης,ὅπως ἂν εἰδὼς ἡμὶν ἀγγείλῃς σαφῆ.,,41.0,ὅπως ἄν οἶδα ἐγώ ἀγγέλλω σαφής
Ὀρέστης,οὐ γάρ σε μὴ γήρᾳ τε καὶ χρόνῳ μακρῷ,,42.0,οὐ γάρ σύ μή γῆρας τε καί χρόνος μακρός
Ὀρέστης,"γνῶσ᾽, οὐδ᾽ ὑποπτεύσουσιν ὧδ᾽ ἠνθισμένον.",,43.0,γνῶσ οὐδ ὑποπτεύω ὧδ ἀνθίζω
Ὀρέστης,"λόγῳ δὲ χρῶ τοιῷδ᾽, ὅτι ξένος μὲν εἶ",,44.0,λόγος δέ χράω τοιῷδ ὅτι ξένος μέν εἶμι
Ὀρέστης,Φωκέως παρ᾽ ἀνδρὸς Φανοτέως ἥκων: ὃ γὰρ,45.0,45.0,Φωκεύς παρ ἀνήρ Φανοτεύς ἥκω ὁ γάρ
Ὀρέστης,μέγιστος αὐτοῖς τυγχάνει δορυξένων.,,46.0,μέγας αὐτός τυγχάνω δορύξενος
Ὀρέστης,ἄγγελλε δ᾽ ὅρκον προστιθεὶς ὁθούνεκα,,47.0,ἀγγέλλω δ ὅρκος προστίθημι ὁθούνεκα
Ὀρέστης,"τέθνηκ᾽ Ὀρέστης ἐξ ἀναγκαίας τύχης,",,48.0,τέθνηκ Ὀρέστης ἐκ ἀναγκαῖος τύχη
Ὀρέστης,ἄθλοισι Πυθικοῖσιν ἐκ τροχηλάτων,,49.0,ἆθλος Πυθικός ἐκ τροχήλατος
Ὀρέστης,δίφρων κυλισθείς: ὧδ᾽ ὁ μῦθος ἑστάτω.,50.0,50.0,δίφρος κυλίνδω ὧδ ὁ μῦθος ἵστημι
Ἠλέκτρα,ἰώ μοί μοι δύστηνος.,,51.0,ἰώ ἐγώ ἐγώ δύστηνος
Παιδαγωγός,καὶ μὴν θυρῶν ἔδοξα προσπόλων τινὸς,,52.0,καί μήν θύρα δοκέω πρόσπολος τις
Παιδαγωγός,"ὑποστενούσης ἔνδον αἰσθέσθαι, τέκνον.",,53.0,ὑποστένω ἔνδον αἰσθάνομαι τέκνον
Ὀρέστης,ἆρ᾽ ἐστὶν ἡ δύστηνος Ἠλέκτρα: θέλεις,80.0,80.0,ἆρ εἰμί ὁ δύστηνος Ἠλέκτρα ἐθέλω
Ὀρέστης,μείνωμεν αὐτοῦ κἀπακούσωμεν γόων;,,81.0,μένω αὐτός ἐπακούω γόος
Παιδαγωγός,ἥκιστα: μηδὲν πρόσθεν ἢ τὰ Λοξίου,,82.0,ἥκιστος μηδείς πρόσθεν ἤ ὁ Λοξίας
Παιδαγωγός,"πειρώμεθ᾽ ἔρδειν κἀπὸ τῶνδ᾽ ἀρχηγετεῖν,",,83.0,πειρώμεθ ἔρδω ἀπό τῶνδ ἀρχηγετέω
Παιδαγωγός,πατρὸς χέοντες λουτρά: ταῦτα γὰρ φέρει,,84.0,πατήρ χέω λουτρόν οὗτος γάρ φέρω
Παιδαγωγός,νίκην τ᾽ ἐφ᾽ ἡμῖν καὶ κράτος τῶν δρωμένων.,85.0,85.0,νίκη τ ἐπί ἐγώ καί κράτος ὁ δράω
Ἠλέκτρα,ὦ φάος ἁγνὸν,,86.0,ὦ φάος ἁγνός
Ἠλέκτρα,"καὶ γῆς ἰσόμοιρ᾽ ἀήρ, ὥς μοι",,87.0,καί γῆ ἰσόμοιρ ἀήρ ὡς ἐγώ
Ἠλέκτρα,"πολλὰς μὲν θρήνων ᾠδάς,",,88.0,πολύς μέν θρῆνος ἀοιδή
Ἠλέκτρα,πολλὰς δ᾽ ἀντήρεις ᾔσθου,,89.0,πολύς δ ἀντήρης αἰσθάνομαι
Ἠλέκτρα,"στέρνων πληγὰς αἱμασσομένων,",90.0,90.0,στέρνον πληγή αἱμάσσω
Ἠλέκτρα,ὁπόταν δνοφερὰ νὺξ ὑπολειφθῇ:,,91.0,ὁπόταν δνοφερὰ νύξ ὑπολείπω
Ἠλέκτρα,τὰ δὲ παννυχίδων ἤδη στυγεραὶ,,92.0,ὁ δέ παννυχίς ἤδη στυγερός
Ἠλέκτρα,"ξυνίσασ᾽ εὐναὶ μογερῶν οἴκων,",,93.0,ξυνίσασ εὐνή μογερός οἶκος
Ἠλέκτρα,ὅσα τὸν δύστηνον ἐμὸν θρηνῶ,,94.0,ὅσος ὁ δύστηνος ἐμός θρηνέω
Ἠλέκτρα,"πατέρ᾽, ὃν κατὰ μὲν βάρβαρον αἶαν",95.0,95.0,πατέρ ὅς κατά μέν βάρβαρος αἶα
Ἠλέκτρα,"φοίνιος Ἄρης οὐκ ἐξένισεν,",,96.0,φοίνιος Ἄρης οὐ ξενίζω
Ἠλέκτρα,μήτηρ δ᾽ ἡμὴ χὠ κοινολεχὴς,,97.0,μήτηρ δ ἡμός ὁ κοινολεχής
Ἠλέκτρα,Αἴγισθος ὅπως δρῦν ὑλοτόμοι,,98.0,Αἴγισθος ὅπως δρῦς ὑλοτόμος
Ἠλέκτρα,"σχίζουσι κάρα φονίῳ πελέκει,",,99.0,σχίζω κάρα φόνιος πέλεκυς
Ἠλέκτρα,κοὐδεὶς τούτων οἶκτος ἀπ᾽ ἄλλης,100.0,100.0,οὐδείς οὗτος οἶκτος ἀπό ἄλλος
Ἠλέκτρα,"ἢ 'μοῦ φέρεται, σοῦ, πάτερ, οὕτως",,101.0,ἤ ἐγώ φέρω σύ πάτηρ οὕτως
Ἠλέκτρα,αἰκῶς οἰκτρῶς τε θανόντος.,,102.0,ἀικής οἰκτρός τε θνήσκω
Χορός,"ὦ παῖ, παῖ δυστανοτάτας",,103.0,ὦ παῖς παῖς δύστηνος
Χορός,"Ἠλέκτρα ματρός, τίν᾽ ἀεὶ",,104.0,Ἠλέκτρα μήτηρ σύ ἀεί
Χορός,τάκεις ὧδ᾽ ἀκόρεστον οἰμωγὰν,,105.0,τήκω ὧδ ἀκόρεστος οἰμωγή
Χορός,τὸν πάλαι ἐκ δολερᾶς ἀθεώτατα,,106.0,ὁ πάλαι ἐκ δολερός ἄθεος
Χορός,ματρὸς ἁλόντ᾽ ἀπάταις Ἀγαμέμνονα,125.0,125.0,μήτηρ ἁλόντ ἀπάτη Ἀγαμέμνων
Χορός,κακᾷ τε χειρὶ πρόδοτον; ὡς ὁ τάδε πορὼν,,126.0,κακός τε χείρ πρόδοτος ὡς ὁ ὅδε πόρω
Χορός,"ὄλοιτ᾽, εἴ μοι θέμις τάδ᾽ αὐδᾶν.",,127.0,ὄλοιτ εἰ ἐγώ θέμις τάδ αὐδάω
Ἠλέκτρα,"ὦ γενέθλα γενναίων,",,128.0,ὦ γενέθλη γενναῖος
Ἠλέκτρα,ἥκετ᾽ ἐμῶν καμάτων παραμύθιον.,130.0,130.0,ἥκετ ἐμός κάματος παραμύθιον
Ἠλέκτρα,"οἶδά τε καὶ ξυνίημι τάδ᾽, οὔ τί με",,131.0,οἶδα τε καί συνίημι τάδ οὐ τίς ἐγώ
Ἠλέκτρα,"φυγγάνει, οὐδ᾽ ἐθέλω προλιπεῖν τόδε,",,132.0,φυγγάνω οὐδ ἐθέλω προλείπω ὅδε
Ἠλέκτρα,μὴ οὐ τὸν ἐμὸν στενάχειν πατέρ᾽ ἄθλιον.,,133.0,μή οὐ ὁ ἐμός στενάχω πατέρ ἄθλιος
Ἠλέκτρα,"ἀλλ᾽ ὦ παντοίας φιλότητος ἀμειβόμεναι χάριν,",,134.0,ἀλλ ὦ παντοῖος φιλότης ἀμείβω χάρις
Ἠλέκτρα,"ἐᾶτέ μ᾽ ὧδ᾽ ἀλύειν,",135.0,135.0,ἐάω μ ὧδ ἀλύω
Ἠλέκτρα,"αἰαῖ, ἱκνοῦμαι.",,136.0,αἰαῖ ἱκνέομαι
Χορός,ἀλλ᾽ οὔτοι τόν γ᾽ ἐξ Ἀΐδα,,137.0,ἀλλ οὔτοι ὁ γε ἐκ ᾍδης
Χορός,παγκοίνου λίμνας πατέρ᾽ ἀν-,,138.0,πάγκοινος λίμνη πατέρ ἀνά
Χορός,στάσεις οὔτε γόοισιν οὔτ᾽ εὐχαῖς.,,139.0,στάσις οὔτε γόος οὔτ εὐχή
Χορός,ἀλλ᾽ ἀπὸ τῶν μετρίων ἐπ᾽ ἀμήχανον,140.0,140.0,ἀλλ ἀπό ὁ μέτριος ἐπί ἀμήχανος
Χορός,"ἄλγος ἀεὶ στενάχουσα διόλλυσαι,",,141.0,ἄλγος ἀεί στενάχω διόλλυμι
Χορός,ἐν οἷς ἀνάλυσίς ἐστιν οὐδεμία κακῶν.,,142.0,ἐν ὅς ἀνάλυσις εἰμί οὐδείς κακός
Χορός,τί μοι τῶν δυσφόρων ἐφίει;,,143.0,τίς ἐγώ ὁ δύσφορος ἐφίημι
Ἠλέκτρα,νήπιος ὃς τῶν οἰκτρῶς,,144.0,νήπιος ὅς ὁ οἰκτρός
Ἠλέκτρα,οἰχομένων γονέων ἐπιλάθεται.,145.0,145.0,οἴχομαι γονεύς ἐπιλήθω
Ἠλέκτρα,"ἀλλ᾽ ἐμέ γ᾽ ἁ στονόεσσ᾽ ἄραρεν φρένας,",,146.0,ἀλλ ἐγώ γε ὁ στονόεσσ ἀραρίσκω φρήν
Ἠλέκτρα,"ἃ Ἴτυν, αἰὲν Ἴτυν ὀλοφύρεται,",,147.0,ὅς Ἴτυς ἀεί Ἴτυς ὀλοφύρομαι
Ἠλέκτρα,"ὄρνις ἀτυζομένα, Διὸς ἄγγελος.",,148.0,ὄρνις ἀτύζω Ζεύς ἄγγελος
Ἠλέκτρα,"ἰὼ παντλάμων Νιόβα, σὲ δ᾽ ἔγωγε νέμω θεόν,",150.0,150.0,ἰώ παντλήμων Νιόβη σύ δ ἐγώ νέμω θεός
Ἠλέκτρα,ἅτ᾽ ἐν τάφῳ πετραίῳ,,151.0,ἅτ ἐν τάφος πετραῖος
Ἠλέκτρα,αἰεὶ δακρύεις.,,152.0,ἀεί δακρύω
Χορός,"οὔτοι σοὶ μούνᾳ, τέκνον,",,153.0,οὔτοι σύ μόνος τέκνον
Χορός,"ἄχος ἐφάνη βροτῶν,",155.0,155.0,ἄχος φαίνω βροτός
Χορός,"πρὸς ὅ τι σὺ τῶν ἔνδον εἶ περισσά,",,156.0,πρός ὁ τις σύ ὁ ἔνδον εἶμι περισσός
Χορός,"οἷς ὁμόθεν εἶ καὶ γονᾷ ξύναιμος,",,157.0,ὅς ὁμόθεν εἶμι καί γονή σύναιμος
Χορός,"οἵα Χρυσόθεμις ζώει καὶ Ἰφιάνασσα,",,158.0,οἷος Χρυσόθεμις ζώω καί Ἰφιάνασσα
