Name,Speech,verse_number,inferred_verse_number,lemmata
Ἀθήνα,τῇ σῇ πρόθυμος εἰς ὁδὸν κυναγίᾳ.,,37.0,ὁ σός πρόθυμος εἰς ὁδός κυνηγία
Ὀδυσσεύς,"ἦ καί, φίλη δέσποινα, πρὸς καιρὸν πονῶ;",,38.0,εἰμί καί φίλος δέσποινα πρός καιρός πονέω
Ἀθήνα,ὡς ἔστιν ἀνδρὸς τοῦδε τἄργα ταῦτά σοι.,,39.0,ὡς εἰμί ἀνήρ ὅδε ἔργον οὗτος σύ
Ὀδυσσεύς,καὶ πρὸς τί δυσλόγιστον ὧδ᾽ ᾖξεν χέρα;,40.0,40.0,καί πρός τίς δυσλόγιστος ὧδ ἀίσσω χείρ
Ἀθήνα,χόλῳ βαρυνθεὶς τῶν Ἀχιλλείων ὅπλων.,,41.0,χόλος βαρύνω ὁ Ἀχίλλειος ὅπλον
Ὀδυσσεύς,τί δῆτα ποίμναις τήνδ᾽ ἐπεμπίπτει βάσιν;,,42.0,τίς δῆτα ποίμνη τήνδ ἐπεμπίπτω βάσις
Ἀθήνα,δοκῶν ἐν ὑμῖν χεῖρα χραίνεσθαι φόνῳ.,,43.0,δοκέω ἐν σύ χείρ χραίνω φόνος
Ὀδυσσεύς,ἦ καὶ τὸ βούλευμ᾽ ὡς ἐπ᾽ Ἀργείοις τόδ᾽ ἦν;,,44.0,εἰμί καί ὁ βούλευμ ὡς ἐπί Ἀργεῖος τόδ εἰμί
Ἀθήνα,"κἂν ἐξεπράξατ᾽, εἰ κατημέλησ᾽ ἐγώ.",45.0,45.0,κἀν ἐξεπράξατ εἰ κατημέλησ ἐγώ
Ὀδυσσεύς,ποίαισι τόλμαις ταῖσδε καὶ φρενῶν θράσει;,,46.0,ποῖος τόλμα ὅδε καί φρήν θράσος
Ἀθήνα,νύκτωρ ἐφ᾽ ὑμᾶς δόλιος ὁρμᾶται μόνος.,,47.0,νύκτωρ ἐπί σύ δόλιος ὁρμάω μόνος
Ὀδυσσεύς,ἦ καὶ παρέστη κἀπὶ τέρμ᾽ ἀφίκετο;,,48.0,εἰμί καί παρίστημι ἐπί τέρμ ἀφικνέομαι
Ἀθήνα,καὶ δὴ 'πὶ δισσαῖς ἦν στρατηγίσιν πύλαις.,,49.0,καί δή ἐπί δισσός εἰμί στρατηγίς πύλη
Ὀδυσσεύς,καὶ πῶς ἐπέσχε χεῖρα μαιμῶσαν φόνου;,50.0,50.0,καί πῶς ἐπέχω χείρ μαιμάω φόνος
Ἀθήνα,"ἐγώ σφ᾽ ἀπείργω, δυσφόρους ἐπ᾽ ὄμμασι",,51.0,ἐγώ σφ ἀπείργω δύσφορος ἐπί ὄμμα
Ἀθήνα,"γνώμας βαλοῦσα τῆς ἀνηκέστου χαρᾶς,",,52.0,γνώμη βάλλω ὁ ἀνήκεστος χαρά
Ἀθήνα,καὶ πρός τε ποίμνας ἐκτρέπω σύμμικτά τε,,53.0,καί πρός τε ποίμνη ἐκτρέπω σύμμικτος τε
Ἀθήνα,λείας ἄδαστα βουκόλων φρουρήματα:,,54.0,λεία ἄδαστος βουκόλος φρούρημα
Ἀθήνα,ἔνθ᾽ εἰσπεσὼν ἔκειρε πολύκερων φόνον,55.0,55.0,εἰμί εἰσπίπτω κείρω πολύκερως φόνος
Ἀθήνα,κύκλῳ ῥαχίζων: κἀδόκει μὲν ἔσθ᾽ ὅτε,,56.0,κύκλος ῥαχίζω δοκέω μέν εἰμί ὅτε
Ἀθήνα,"δισσοὺς Ἀτρείδας αὐτόχειρ κτείνειν ἔχων,",,57.0,δισσός Ἀτρείδης αὐτόχειρ κτείνω ἔχω
Ἀθήνα,ὅτ᾽ ἄλλοτ᾽ ἄλλον ἐμπίτνων στρατηλατῶν.,,58.0,ὅτ ἄλλοτ ἄλλος ἐμπίπτω στρατηλάτης
Ἀθήνα,ἐγὼ δὲ φοιτῶντ᾽ ἄνδρα μανιάσιν νόσοις,,59.0,ἐγώ δέ φοιτῶντ ἀνήρ μανιάς νόσος
Ἀθήνα,"ὤτρυνον, εἰσέβαλλον εἰς ἕρκη κακά.",60.0,60.0,ὀτρύνω εἰσβάλλω εἰς ἕρκος κακός
Ἀθήνα,"κἄπειτ᾽ ἐπειδὴ τοῦδ᾽ ἐλώφησεν πόνου,",,61.0,κἄπειτ ἐπεί τοῦδ λωφάω πόνος
Ἀθήνα,τοὺς ζῶντας αὖ δεσμοῖσι συνδήσας βοῶν,,62.0,ὁ ζάω αὖ δεσμός συνδέω βοῦς
