lemma,COUNT,MEAN,MAX,MIN,STD,LOW,HIGH,ALL,MIN_perc,LOW_perc,COUNT_perc,HIGH_perc,MAX_perc,title,lemma_lower
ὅστις,21,21.0,36.0,7.0,4.529296796471773,12.0,30.0,6488,0.0010789149198520344,0.0018495684340320592,0.0032367447595561035,0.004623921085080148,0.005548705302096177,Trachiniae,ὅστις
πατήρ,33,33.0,50.0,18.0,5.658898379466702,22.0,44.0,6488,0.0027743526510480886,0.0033908754623921083,0.005086313193588163,0.006781750924784217,0.0077065351418002465,Trachiniae,πατήρ
ἐν,37,37.0,58.0,22.0,5.891196296695079,25.0,49.0,6488,0.0033908754623921083,0.0038532675709001232,0.0057028360049321825,0.007552404438964242,0.008939580764488286,Trachiniae,ἐν
δόμος,19,19.0,35.0,7.0,4.447893236775614,10.0,28.0,6488,0.0010789149198520344,0.0015413070283600493,0.002928483353884094,0.004315659679408138,0.005394574599260173,Trachiniae,δόμος
Οἰνεύς,6,6.0,17.0,0.0,2.4774559959337745,1.0,11.0,6488,0.0,0.00015413070283600493,0.0009247842170160296,0.0016954377311960542,0.0026202219482120838,Trachiniae,οἰνεύς
ναίω,4,4.0,11.0,0.0,2.0130150943869674,0.0,8.0,6488,0.0,0.0,0.0006165228113440197,0.0012330456226880395,0.0016954377311960542,Trachiniae,ναίω
ἔτης,5,5.0,13.0,0.0,2.2199018077302513,1.0,9.0,6488,0.0,0.00015413070283600493,0.0007706535141800247,0.0013871763255240443,0.002003699136868064,Trachiniae,ἔτης
Πλευρών,1,1.0,7.0,0.0,0.9981861671930865,0.0,3.0,6488,0.0,0.0,0.00015413070283600493,0.0004623921085080148,0.0010789149198520344,Trachiniae,πλευρών
νυμφεῖος,2,2.0,7.0,0.0,1.3608020494481252,0.0,5.0,6488,0.0,0.0,0.00030826140567200987,0.0007706535141800247,0.0010789149198520344,Trachiniae,νυμφεῖος
ὄκνος,1,1.0,5.0,0.0,0.9833610735630128,0.0,3.0,6488,0.0,0.0,0.00015413070283600493,0.0004623921085080148,0.0007706535141800247,Trachiniae,ὄκνος
ἀλγίων,1,1.0,5.0,0.0,0.9874203770426256,0.0,3.0,6488,0.0,0.0,0.00015413070283600493,0.0004623921085080148,0.0007706535141800247,Trachiniae,ἀλγίων
γυνή,25,25.0,39.0,9.0,4.993438251788598,15.0,35.0,6488,0.0013871763255240443,0.002311960542540074,0.0038532675709001232,0.005394574599260173,0.006011097410604192,Trachiniae,γυνή
μνηστήρ,2,2.0,8.0,0.0,1.4610630700641551,0.0,5.0,6488,0.0,0.0,0.00030826140567200987,0.0007706535141800247,0.0012330456226880395,Trachiniae,μνηστήρ
γάρ,77,77.0,99.0,48.0,8.653187178817316,60.0,94.0,6488,0.007398273736128237,0.009247842170160296,0.011868064118372379,0.014488286066584463,0.015258939580764488,Trachiniae,γάρ
ἐάν,26,26.0,44.0,11.0,5.24455228511726,16.0,36.0,6488,0.0016954377311960542,0.002466091245376079,0.004007398273736128,0.005548705302096177,0.006781750924784217,Trachiniae,ἐάν
ποταμός,3,3.0,10.0,0.0,1.7512507304435652,0.0,6.0,6488,0.0,0.0,0.0004623921085080148,0.0009247842170160296,0.0015413070283600493,Trachiniae,ποταμός
Ἀχελώιος,2,2.0,7.0,0.0,1.3971270650746253,0.0,5.0,6488,0.0,0.0,0.00030826140567200987,0.0007706535141800247,0.0010789149198520344,Trachiniae,ἀχελώιος
λέγος,14,14.0,28.0,2.0,3.967693713808238,6.0,22.0,6488,0.00030826140567200987,0.0009247842170160296,0.002157829839704069,0.0033908754623921083,0.004315659679408138,Trachiniae,λέγος
τρεῖς,1,1.0,5.0,0.0,1.0092360687953252,0.0,3.0,6488,0.0,0.0,0.00015413070283600493,0.0004623921085080148,0.0007706535141800247,Trachiniae,τρεῖς
μορφάω,2,2.0,8.0,0.0,1.3321454082086492,0.0,5.0,6488,0.0,0.0,0.00030826140567200987,0.0007706535141800247,0.0012330456226880395,Trachiniae,μορφάω
ἐξαιτέω,1,1.0,5.0,0.0,0.9927318286004956,0.0,3.0,6488,0.0,0.0,0.00015413070283600493,0.0004623921085080148,0.0007706535141800247,Trachiniae,ἐξαιτέω
φοίτης,1,1.0,5.0,0.0,1.0002007790446867,0.0,3.0,6488,0.0,0.0,0.00015413070283600493,0.0004623921085080148,0.0007706535141800247,Trachiniae,φοίτης
ἐναργής,2,2.0,8.0,0.0,1.3982099302290085,0.0,5.0,6488,0.0,0.0,0.00030826140567200987,0.0007706535141800247,0.0012330456226880395,Trachiniae,ἐναργής
ταῦρος,2,2.0,8.0,0.0,1.3901803475094152,0.0,5.0,6488,0.0,0.0,0.00030826140567200987,0.0007706535141800247,0.0012330456226880395,Trachiniae,ταῦρος
ἄλλοτε,2,2.0,8.0,0.0,1.3722066349318711,0.0,5.0,6488,0.0,0.0,0.00030826140567200987,0.0007706535141800247,0.0012330456226880395,Trachiniae,ἄλλοτε
Αἴολος,2,2.0,7.0,0.0,1.3628575198385997,0.0,5.0,6488,0.0,0.0,0.00030826140567200987,0.0007706535141800247,0.0010789149198520344,Trachiniae,αἴολος
δέρκομαι,4,4.0,12.0,0.0,2.031814885335701,0.0,8.0,6488,0.0,0.0,0.0006165228113440197,0.0012330456226880395,0.0018495684340320592,Trachiniae,δέρκομαι
ἑλικτός,1,1.0,7.0,0.0,0.9726458554067663,0.0,3.0,6488,0.0,0.0,0.00015413070283600493,0.0004623921085080148,0.0010789149198520344,Trachiniae,ἑλικτός
ἀνδρεῖος,1,1.0,6.0,0.0,1.0386410471261114,0.0,3.0,6488,0.0,0.0,0.00015413070283600493,0.0004623921085080148,0.0009247842170160296,Trachiniae,ἀνδρεῖος
κύτος,1,1.0,5.0,0.0,0.9924470005753703,0.0,3.0,6488,0.0,0.0,0.00015413070283600493,0.0004623921085080148,0.0007706535141800247,Trachiniae,κύτος
βούπρῳρος,1,1.0,5.0,0.0,1.0032952698988462,0.0,3.0,6488,0.0,0.0,0.00015413070283600493,0.0004623921085080148,0.0007706535141800247,Trachiniae,βούπρῳρος
ἐκ,22,22.0,43.0,8.0,4.841088706080468,13.0,31.0,6488,0.0012330456226880395,0.002003699136868064,0.0033908754623921083,0.004778051787916153,0.006627620221948212,Trachiniae,ἐκ
δάσκιος,1,1.0,6.0,0.0,1.0359617672562935,0.0,3.0,6488,0.0,0.0,0.00015413070283600493,0.0004623921085080148,0.0009247842170160296,Trachiniae,δάσκιος
γενειάς,1,1.0,7.0,0.0,1.0226984344918535,0.0,3.0,6488,0.0,0.0,0.00015413070283600493,0.0004623921085080148,0.0010789149198520344,Trachiniae,γενειάς
Κρουνοί,1,1.0,5.0,0.0,0.9843531119222659,0.0,3.0,6488,0.0,0.0,0.00015413070283600493,0.0004623921085080148,0.0007706535141800247,Trachiniae,κρουνοί
διαρραίνομαι,1,1.0,6.0,0.0,1.0153418542141759,0.0,3.0,6488,0.0,0.0,0.00015413070283600493,0.0004623921085080148,0.0009247842170160296,Trachiniae,διαρραίνομαι
κρηναῖος,1,1.0,5.0,0.0,0.9623719863752479,0.0,3.0,6488,0.0,0.0,0.00015413070283600493,0.0004623921085080148,0.0007706535141800247,Trachiniae,κρηναῖος
πότης,2,2.0,8.0,0.0,1.3586625909194807,0.0,5.0,6488,0.0,0.0,0.00030826140567200987,0.0007706535141800247,0.0012330456226880395,Trachiniae,πότης
τοιόσδε,7,7.0,16.0,1.0,2.516904684490295,2.0,12.0,6488,0.00015413070283600493,0.00030826140567200987,0.0010789149198520344,0.0018495684340320592,0.002466091245376079,Trachiniae,τοιόσδε
προσδέχομαι,2,2.0,8.0,0.0,1.403859387125783,0.0,5.0,6488,0.0,0.0,0.00030826140567200987,0.0007706535141800247,0.0012330456226880395,Trachiniae,προσδέχομαι
δύστηνος,8,8.0,20.0,1.0,2.8456921892509803,2.0,14.0,6488,0.00015413070283600493,0.00030826140567200987,0.0012330456226880395,0.002157829839704069,0.0030826140567200987,Trachiniae,δύστηνος
ἀεί,13,13.0,29.0,4.0,3.6676938288218692,6.0,20.0,6488,0.0006165228113440197,0.0009247842170160296,0.002003699136868064,0.0030826140567200987,0.004469790382244143,Trachiniae,ἀεί
καταθνήσκω,1,1.0,7.0,0.0,1.0004594349193179,0.0,3.0,6488,0.0,0.0,0.00015413070283600493,0.0004623921085080148,0.0010789149198520344,Trachiniae,καταθνήσκω
ἐπεύχομαι,1,1.0,6.0,0.0,1.0634280045584283,0.0,3.0,6488,0.0,0.0,0.00015413070283600493,0.0004623921085080148,0.0009247842170160296,Trachiniae,ἐπεύχομαι
ὅδε,118,118.0,152.0,83.0,11.060107504991894,96.0,140.0,6488,0.012792848335388409,0.014796547472256474,0.018187422934648582,0.02157829839704069,0.02342786683107275,Trachiniae,ὅδε
κοίτη,2,2.0,7.0,0.0,1.3680761556406016,0.0,5.0,6488,0.0,0.0,0.00030826140567200987,0.0007706535141800247,0.0010789149198520344,Trachiniae,κοίτη
ἐμπελάζω,2,2.0,7.0,0.0,1.3915873973687332,0.0,5.0,6488,0.0,0.0,0.00030826140567200987,0.0007706535141800247,0.0010789149198520344,Trachiniae,ἐμπελάζω
πότε,26,26.0,44.0,11.0,4.9179629563834295,16.0,36.0,6488,0.0016954377311960542,0.002466091245376079,0.004007398273736128,0.005548705302096177,0.006781750924784217,Trachiniae,πότε
χρόνος,17,17.0,37.0,5.0,4.039222781590621,9.0,25.0,6488,0.0007706535141800247,0.0013871763255240443,0.0026202219482120838,0.0038532675709001232,0.0057028360049321825,Trachiniae,χρόνος
ὕστερον,3,3.0,13.0,0.0,1.7267531160175515,0.0,6.0,6488,0.0,0.0,0.0004623921085080148,0.0009247842170160296,0.002003699136868064,Trachiniae,ὕστερον
ἄσμενος,2,2.0,8.0,0.0,1.4477444650089448,0.0,5.0,6488,0.0,0.0,0.00030826140567200987,0.0007706535141800247,0.0012330456226880395,Trachiniae,ἄσμενος
κλεινός,2,2.0,8.0,0.0,1.438299445423412,0.0,5.0,6488,0.0,0.0,0.00030826140567200987,0.0007706535141800247,0.0012330456226880395,Trachiniae,κλεινός
ἔρχομαι,10,10.0,22.0,1.0,3.160405012045108,4.0,16.0,6488,0.00015413070283600493,0.0006165228113440197,0.0015413070283600493,0.002466091245376079,0.0033908754623921083,Trachiniae,ἔρχομαι
Ζεύς,17,17.0,33.0,6.0,4.156545095733611,9.0,25.0,6488,0.0009247842170160296,0.0013871763255240443,0.0026202219482120838,0.0038532675709001232,0.005086313193588163,Trachiniae,ζεύς
Ἀλκμήνη,4,4.0,13.0,0.0,1.9936848348671414,0.0,8.0,6488,0.0,0.0,0.0006165228113440197,0.0012330456226880395,0.002003699136868064,Trachiniae,ἀλκμήνη
πᾶς,17,17.0,32.0,5.0,4.20666874593923,9.0,25.0,6488,0.0007706535141800247,0.0013871763255240443,0.0026202219482120838,0.0038532675709001232,0.004932182490752158,Trachiniae,πᾶς
ἄγωνος,2,2.0,7.0,0.0,1.3984278313879481,0.0,5.0,6488,0.0,0.0,0.00030826140567200987,0.0007706535141800247,0.0010789149198520344,Trachiniae,ἄγωνος
συμπίτνω,1,1.0,6.0,0.0,0.9613323255564852,0.0,3.0,6488,0.0,0.0,0.00015413070283600493,0.0004623921085080148,0.0009247842170160296,Trachiniae,συμπίτνω
μάχη,1,1.0,6.0,0.0,0.9939376680215355,0.0,3.0,6488,0.0,0.0,0.00015413070283600493,0.0004623921085080148,0.0009247842170160296,Trachiniae,μάχη
ἐκλύω,2,2.0,7.0,0.0,1.37876720333746,0.0,5.0,6488,0.0,0.0,0.00030826140567200987,0.0007706535141800247,0.0010789149198520344,Trachiniae,ἐκλύω
τρόπος,2,2.0,7.0,0.0,1.4138172162196643,0.0,5.0,6488,0.0,0.0,0.00030826140567200987,0.0007706535141800247,0.0010789149198520344,Trachiniae,τρόπος
πόνος,7,7.0,17.0,0.0,2.6452252802392433,2.0,12.0,6488,0.0,0.00030826140567200987,0.0010789149198520344,0.0018495684340320592,0.0026202219482120838,Trachiniae,πόνος
διεῖπον,1,1.0,6.0,0.0,0.9725246504866578,0.0,3.0,6488,0.0,0.0,0.00015413070283600493,0.0004623921085080148,0.0009247842170160296,Trachiniae,διεῖπον
οἶδα,20,20.0,36.0,8.0,4.404506592307284,11.0,29.0,6488,0.0012330456226880395,0.0016954377311960542,0.0030826140567200987,0.004469790382244143,0.005548705302096177,Trachiniae,οἶδα
ἄλλος,79,79.0,124.0,52.0,8.857108762139912,62.0,96.0,6488,0.008014796547472256,0.009556103575832305,0.01217632552404439,0.014796547472256474,0.01911220715166461,Trachiniae,ἄλλος
θᾶκος,1,1.0,6.0,0.0,0.9583692025892362,0.0,3.0,6488,0.0,0.0,0.00015413070283600493,0.0004623921085080148,0.0009247842170160296,Trachiniae,θᾶκος
ἀταρβής,1,1.0,6.0,0.0,1.0089281758064168,0.0,3.0,6488,0.0,0.0,0.00015413070283600493,0.0004623921085080148,0.0009247842170160296,Trachiniae,ἀταρβής
θέα,10,10.0,21.0,1.0,3.153030351836214,4.0,16.0,6488,0.00015413070283600493,0.0006165228113440197,0.0015413070283600493,0.002466091245376079,0.0032367447595561035,Trachiniae,θέα
ἧμαι,2,2.0,8.0,0.0,1.3426069441923079,0.0,5.0,6488,0.0,0.0,0.00030826140567200987,0.0007706535141800247,0.0012330456226880395,Trachiniae,ἧμαι
ἐκπλήσσω,2,2.0,8.0,0.0,1.3644069750651355,0.0,5.0,6488,0.0,0.0,0.00030826140567200987,0.0007706535141800247,0.0012330456226880395,Trachiniae,ἐκπλήσσω
φόβος,4,4.0,11.0,0.0,1.9707298708286287,0.0,8.0,6488,0.0,0.0,0.0006165228113440197,0.0012330456226880395,0.0016954377311960542,Trachiniae,φόβος
μή,50,50.0,72.0,32.0,6.78799007002877,37.0,63.0,6488,0.004932182490752158,0.0057028360049321825,0.0077065351418002465,0.00971023427866831,0.011097410604192354,Trachiniae,μή
κάλλος,2,2.0,7.0,0.0,1.3819566548210533,0.0,5.0,6488,0.0,0.0,0.00030826140567200987,0.0007706535141800247,0.0010789149198520344,Trachiniae,κάλλος
ἄλγος,1,1.0,6.0,0.0,1.0008158510097487,0.0,3.0,6488,0.0,0.0,0.00015413070283600493,0.0004623921085080148,0.0009247842170160296,Trachiniae,ἄλγος
ἐξευρίσκω,2,2.0,9.0,0.0,1.4084034931795646,0.0,5.0,6488,0.0,0.0,0.00030826140567200987,0.0007706535141800247,0.0013871763255240443,Trachiniae,ἐξευρίσκω
τέλος,3,3.0,10.0,0.0,1.7710328744993533,0.0,6.0,6488,0.0,0.0,0.0004623921085080148,0.0009247842170160296,0.0015413070283600493,Trachiniae,τέλος
τίθημι,4,4.0,13.0,0.0,1.9655484271267953,0.0,8.0,6488,0.0,0.0,0.0006165228113440197,0.0012330456226880395,0.002003699136868064,Trachiniae,τίθημι
ἀγώνιος,1,1.0,6.0,0.0,1.0178388890173158,0.0,3.0,6488,0.0,0.0,0.00015413070283600493,0.0004623921085080148,0.0009247842170160296,Trachiniae,ἀγώνιος
κάλως,14,14.0,27.0,4.0,3.6533514781604333,7.0,21.0,6488,0.0006165228113440197,0.0010789149198520344,0.002157829839704069,0.0032367447595561035,0.004161528976572133,Trachiniae,κάλως
Δεύς,29,29.0,43.0,14.0,5.159161855277565,19.0,39.0,6488,0.002157829839704069,0.002928483353884094,0.004469790382244143,0.006011097410604192,0.006627620221948212,Trachiniae,δεύς
λέχος,6,6.0,15.0,0.0,2.4123847950939337,1.0,11.0,6488,0.0,0.00015413070283600493,0.0009247842170160296,0.0016954377311960542,0.002311960542540074,Trachiniae,λέχος
Ἡρακλῆς,13,13.0,26.0,4.0,3.5131276569555423,6.0,20.0,6488,0.0006165228113440197,0.0009247842170160296,0.002003699136868064,0.0030826140567200987,0.004007398273736128,Trachiniae,ἡρακλῆς
κριτός,2,2.0,8.0,0.0,1.418014539687529,0.0,5.0,6488,0.0,0.0,0.00030826140567200987,0.0007706535141800247,0.0012330456226880395,Trachiniae,κριτός
συνίστημι,1,1.0,5.0,0.0,1.0148399380691027,0.0,3.0,6488,0.0,0.0,0.00015413070283600493,0.0004623921085080148,0.0007706535141800247,Trachiniae,συνίστημι
τίνω,12,12.0,26.0,3.0,3.464482553086299,5.0,19.0,6488,0.0004623921085080148,0.0007706535141800247,0.0018495684340320592,0.002928483353884094,0.004007398273736128,Trachiniae,τίνω
τρέφω,4,4.0,12.0,0.0,1.9135841230017028,0.0,8.0,6488,0.0,0.0,0.0006165228113440197,0.0012330456226880395,0.0018495684340320592,Trachiniae,τρέφω
ἐκεῖνος,28,28.0,47.0,12.0,5.267806774340552,18.0,38.0,6488,0.0018495684340320592,0.0027743526510480886,0.004315659679408138,0.005856966707768188,0.007244143033292232,Trachiniae,ἐκεῖνος
προκηραίνω,1,1.0,5.0,0.0,1.0157481261337653,0.0,3.0,6488,0.0,0.0,0.00015413070283600493,0.0004623921085080148,0.0007706535141800247,Trachiniae,προκηραίνω
νύξ,5,5.0,12.0,0.0,2.137002391383599,1.0,9.0,6488,0.0,0.00015413070283600493,0.0007706535141800247,0.0013871763255240443,0.0018495684340320592,Trachiniae,νύξ
εἰσάγω,1,1.0,5.0,0.0,1.010606093057367,0.0,3.0,6488,0.0,0.0,0.00015413070283600493,0.0004623921085080148,0.0007706535141800247,Trachiniae,εἰσάγω
ἀπωθέω,3,3.0,10.0,0.0,1.7133244057914192,0.0,6.0,6488,0.0,0.0,0.0004623921085080148,0.0009247842170160296,0.0015413070283600493,Trachiniae,ἀπωθέω
διαδέχομαι,1,1.0,5.0,0.0,0.95703296072397,0.0,3.0,6488,0.0,0.0,0.00015413070283600493,0.0004623921085080148,0.0007706535141800247,Trachiniae,διαδέχομαι
ἀφύσσω,1,1.0,6.0,0.0,1.0294058109785098,0.0,3.0,6488,0.0,0.0,0.00015413070283600493,0.0004623921085080148,0.0009247842170160296,Trachiniae,ἀφύσσω
παῖς,24,24.0,42.0,8.0,5.10677049563664,14.0,34.0,6488,0.0012330456226880395,0.002157829839704069,0.0036991368680641184,0.0052404438964241675,0.006473489519112207,Trachiniae,παῖς
γηίτης,1,1.0,5.0,0.0,0.996128369374012,0.0,3.0,6488,0.0,0.0,0.00015413070283600493,0.0004623921085080148,0.0007706535141800247,Trachiniae,γηίτης
ὅπως,15,15.0,33.0,3.0,4.0003818499057,7.0,23.0,6488,0.0004623921085080148,0.0010789149198520344,0.002311960542540074,0.0035450061652281136,0.005086313193588163,Trachiniae,ὅπως
ἄρουρα,1,1.0,6.0,0.0,1.0192032303594927,0.0,3.0,6488,0.0,0.0,0.00015413070283600493,0.0004623921085080148,0.0009247842170160296,Trachiniae,ἄρουρα
ἔκτοπος,2,2.0,8.0,0.0,1.3607528620761198,0.0,5.0,6488,0.0,0.0,0.00030826140567200987,0.0007706535141800247,0.0012330456226880395,Trachiniae,ἔκτοπος
λαβή,4,4.0,11.0,0.0,1.9995593920255936,0.0,8.0,6488,0.0,0.0,0.0006165228113440197,0.0012330456226880395,0.0016954377311960542,Trachiniae,λαβή
σπείρω,1,1.0,7.0,0.0,1.042728496437456,0.0,3.0,6488,0.0,0.0,0.00015413070283600493,0.0004623921085080148,0.0010789149198520344,Trachiniae,σπείρω
μόνος,13,13.0,26.0,3.0,3.4765442094642838,6.0,20.0,6488,0.0004623921085080148,0.0009247842170160296,0.002003699136868064,0.0030826140567200987,0.004007398273736128,Trachiniae,μόνος
προσεῖδον,3,3.0,8.0,0.0,1.7040177005173167,0.0,6.0,6488,0.0,0.0,0.0004623921085080148,0.0009247842170160296,0.0012330456226880395,Trachiniae,προσεῖδον
ἐξαμάω,1,1.0,5.0,0.0,1.0112158239255569,0.0,3.0,6488,0.0,0.0,0.00015413070283600493,0.0004623921085080148,0.0007706535141800247,Trachiniae,ἐξαμάω
ἅπαξ,1,1.0,5.0,0.0,1.001486407783463,0.0,3.0,6488,0.0,0.0,0.00015413070283600493,0.0004623921085080148,0.0007706535141800247,Trachiniae,ἅπαξ
τοιοῦτος,12,12.0,22.0,2.0,3.4085319288646705,5.0,19.0,6488,0.00030826140567200987,0.0007706535141800247,0.0018495684340320592,0.002928483353884094,0.0033908754623921083,Trachiniae,τοιοῦτος
αἰάζω,1,1.0,5.0,0.0,0.9627279755180872,0.0,3.0,6488,0.0,0.0,0.00015413070283600493,0.0004623921085080148,0.0007706535141800247,Trachiniae,αἰάζω
ἀνδρίς,7,7.0,17.0,0.0,2.659369052283597,2.0,12.0,6488,0.0,0.00030826140567200987,0.0010789149198520344,0.0018495684340320592,0.0026202219482120838,Trachiniae,ἀνδρίς
πέμπω,5,5.0,15.0,0.0,2.1124666824628227,1.0,9.0,6488,0.0,0.00015413070283600493,0.0007706535141800247,0.0013871763255240443,0.002311960542540074,Trachiniae,πέμπω
λατρεύω,1,1.0,5.0,0.0,0.9965705429887274,0.0,3.0,6488,0.0,0.0,0.00015413070283600493,0.0004623921085080148,0.0007706535141800247,Trachiniae,λατρεύω
νῦν,29,29.0,46.0,14.0,5.279951336317988,19.0,39.0,6488,0.002157829839704069,0.002928483353884094,0.004469790382244143,0.006011097410604192,0.007090012330456227,Trachiniae,νῦν
ἑνίζω,7,7.0,15.0,1.0,2.449836382638298,2.0,12.0,6488,0.00015413070283600493,0.00030826140567200987,0.0010789149198520344,0.0018495684340320592,0.002311960542540074,Trachiniae,ἑνίζω
ἆθλον,3,3.0,10.0,0.0,1.7692477956006505,0.0,6.0,6488,0.0,0.0,0.0004623921085080148,0.0009247842170160296,0.0015413070283600493,Trachiniae,ἆθλον
