lemma,COUNT,MEAN,MAX,MIN,STD,LOW,HIGH,ALL,MIN_perc,LOW_perc,COUNT_perc,HIGH_perc,MAX_perc,title,lemma_lower
ἀτίζω,1,1.0,5.0,0.0,1.0260142760728501,0.0,3.0,10091,0.0,0.0,9.909820632246556e-05,0.0002972946189673967,0.0004954910316123278,Oedipus Colonus,ἀτίζω
συγγενεύς,2,2.0,9.0,0.0,1.4139733658455802,0.0,5.0,10091,0.0,0.0,0.00019819641264493112,0.0004954910316123278,0.00089188385690219,Oedipus Colonus,συγγενεύς
προσπίτνω,2,2.0,8.0,0.0,1.4114686522355913,0.0,5.0,10091,0.0,0.0,0.00019819641264493112,0.0004954910316123278,0.0007927856505797245,Oedipus Colonus,προσπίτνω
κάθημαι,1,1.0,7.0,0.0,1.0166613986969308,0.0,3.0,10091,0.0,0.0,9.909820632246556e-05,0.0002972946189673967,0.0006936874442572589,Oedipus Colonus,κάθημαι
θύα,1,1.0,5.0,0.0,0.9704659683905437,0.0,3.0,10091,0.0,0.0,9.909820632246556e-05,0.0002972946189673967,0.0004954910316123278,Oedipus Colonus,θύα
ποδαπός,1,1.0,5.0,0.0,0.9885973271887171,0.0,3.0,10091,0.0,0.0,9.909820632246556e-05,0.0002972946189673967,0.0004954910316123278,Oedipus Colonus,ποδαπός
θάκημα,3,3.0,9.0,0.0,1.7466468517634652,0.0,6.0,10091,0.0,0.0,0.0002972946189673967,0.0005945892379347934,0.00089188385690219,Oedipus Colonus,θάκημα
ὄγκος,2,2.0,10.0,0.0,1.3981956404420122,0.0,5.0,10091,0.0,0.0,0.00019819641264493112,0.0004954910316123278,0.0009909820632246556,Oedipus Colonus,ὄγκος
ἀσφαλής,2,2.0,7.0,0.0,1.38598378379801,0.0,5.0,10091,0.0,0.0,0.00019819641264493112,0.0004954910316123278,0.0006936874442572589,Oedipus Colonus,ἀσφαλής
προσθακέω,1,1.0,6.0,0.0,1.0146538707965773,0.0,3.0,10091,0.0,0.0,9.909820632246556e-05,0.0002972946189673967,0.0005945892379347934,Oedipus Colonus,προσθακέω
ἐγγενής,1,1.0,6.0,0.0,1.0460543820613584,0.0,3.0,10091,0.0,0.0,9.909820632246556e-05,0.0002972946189673967,0.0005945892379347934,Oedipus Colonus,ἐγγενής
