lemma,COUNT,MEAN,MAX,MIN,STD,LOW,HIGH,ALL,MIN_perc,LOW_perc,COUNT_perc,HIGH_perc,MAX_perc,title,lemma_lower
ἄλλος,124,124.0,165.0,83.0,11.244820408258462,102.0,146.0,8900,0.009325842696629214,0.01146067415730337,0.013932584269662922,0.01640449438202247,0.01853932584269663,Oedipus Tyrannus,ἄλλος
ἀκούω,16,16.0,33.0,6.0,3.894922281691841,8.0,24.0,8900,0.0006741573033707865,0.0008988764044943821,0.0017977528089887641,0.002696629213483146,0.003707865168539326,Oedipus Tyrannus,ἀκούω
αὐτός,57,57.0,83.0,35.0,7.35726339580993,43.0,71.0,8900,0.003932584269662922,0.004831460674157303,0.006404494382022472,0.00797752808988764,0.009325842696629214,Oedipus Tyrannus,αὐτός
ὧδε,14,14.0,27.0,5.0,3.8320435073935997,6.0,22.0,8900,0.0005617977528089888,0.0006741573033707865,0.0015730337078651685,0.0024719101123595504,0.0030337078651685393,Oedipus Tyrannus,ὧδε
ἔρχομαι,22,22.0,38.0,9.0,4.567301583675393,13.0,31.0,8900,0.0010112359550561798,0.0014606741573033708,0.0024719101123595504,0.0034831460674157304,0.004269662921348315,Oedipus Tyrannus,ἔρχομαι
ὅς,225,225.0,276.0,176.0,14.46569292250709,197.0,253.0,8900,0.019775280898876403,0.022134831460674156,0.025280898876404494,0.02842696629213483,0.031011235955056178,Oedipus Tyrannus,ὅς
πᾶς,24,24.0,41.0,7.0,4.954647259949942,14.0,34.0,8900,0.0007865168539325843,0.0015730337078651685,0.002696629213483146,0.003820224719101124,0.004606741573033708,Oedipus Tyrannus,πᾶς
κλεινός,3,3.0,10.0,0.0,1.6883836532729641,0.0,6.0,8900,0.0,0.0,0.00033707865168539324,0.0006741573033707865,0.0011235955056179776,Oedipus Tyrannus,κλεινός
Οἰδίπους,21,21.0,37.0,9.0,4.623262640447484,12.0,30.0,8900,0.0010112359550561798,0.001348314606741573,0.0023595505617977526,0.0033707865168539327,0.004157303370786517,Oedipus Tyrannus,οἰδίπους
καλέω,6,6.0,19.0,1.0,2.5208770653923565,1.0,11.0,8900,0.00011235955056179776,0.00011235955056179776,0.0006741573033707865,0.0012359550561797752,0.0021348314606741575,Oedipus Tyrannus,καλέω
γεραιός,3,3.0,9.0,0.0,1.7083914652682501,0.0,6.0,8900,0.0,0.0,0.00033707865168539324,0.0006741573033707865,0.0010112359550561798,Oedipus Tyrannus,γεραιός
φράζω,13,13.0,25.0,3.0,3.4636710269621425,6.0,20.0,8900,0.00033707865168539324,0.0006741573033707865,0.0014606741573033708,0.0022471910112359553,0.0028089887640449437,Oedipus Tyrannus,φράζω
ἔπειμι,22,22.0,40.0,10.0,4.638925777335995,13.0,31.0,8900,0.0011235955056179776,0.0014606741573033708,0.0024719101123595504,0.0034831460674157304,0.0044943820224719105,Oedipus Tyrannus,ἔπειμι
πρέπω,1,1.0,6.0,0.0,0.9889388252060892,0.0,3.0,8900,0.0,0.0,0.00011235955056179776,0.00033707865168539324,0.0006741573033707865,Oedipus Tyrannus,πρέπω
φύω,13,13.0,26.0,4.0,3.5109533188000674,6.0,20.0,8900,0.00044943820224719103,0.0006741573033707865,0.0014606741573033708,0.0022471910112359553,0.0029213483146067415,Oedipus Tyrannus,φύω
πρό,2,2.0,8.0,0.0,1.3178851159418938,0.0,5.0,8900,0.0,0.0,0.00022471910112359551,0.0005617977528089888,0.0008988764044943821,Oedipus Tyrannus,πρό
φωνέω,3,3.0,10.0,0.0,1.6866514775712282,0.0,6.0,8900,0.0,0.0,0.00033707865168539324,0.0006741573033707865,0.0011235955056179776,Oedipus Tyrannus,φωνέω
τρόπος,2,2.0,7.0,0.0,1.426178115097836,0.0,5.0,8900,0.0,0.0,0.00022471910112359551,0.0005617977528089888,0.0007865168539325843,Oedipus Tyrannus,τρόπος
καθίστημι,2,2.0,8.0,0.0,1.4664247673854933,0.0,5.0,8900,0.0,0.0,0.00022471910112359551,0.0005617977528089888,0.0008988764044943821,Oedipus Tyrannus,καθίστημι
δείδω,6,6.0,13.0,0.0,2.3489126440526924,1.0,11.0,8900,0.0,0.00011235955056179776,0.0006741573033707865,0.0012359550561797752,0.0014606741573033708,Oedipus Tyrannus,δείδω
στέργω,2,2.0,8.0,0.0,1.3870515808404849,0.0,5.0,8900,0.0,0.0,0.00022471910112359551,0.0005617977528089888,0.0008988764044943821,Oedipus Tyrannus,στέργω
ἐθέλω,14,14.0,26.0,5.0,3.6941815092083687,7.0,21.0,8900,0.0005617977528089888,0.0007865168539325843,0.0015730337078651685,0.0023595505617977526,0.0029213483146067415,Oedipus Tyrannus,ἐθέλω
ἄν,100,100.0,129.0,71.0,10.071502015446994,80.0,120.0,8900,0.00797752808988764,0.008988764044943821,0.011235955056179775,0.01348314606741573,0.01449438202247191,Oedipus Tyrannus,ἄν
προσαρκέω,2,2.0,8.0,0.0,1.3745270733327428,0.0,5.0,8900,0.0,0.0,0.00022471910112359551,0.0005617977528089888,0.0008988764044943821,Oedipus Tyrannus,προσαρκέω
Πάν,6,6.0,17.0,0.0,2.4894603004291085,1.0,11.0,8900,0.0,0.00011235955056179776,0.0006741573033707865,0.0012359550561797752,0.001910112359550562,Oedipus Tyrannus,πάν
δυσάλγητος,1,1.0,5.0,0.0,0.9711266205222226,0.0,3.0,8900,0.0,0.0,0.00011235955056179776,0.00033707865168539324,0.0005617977528089888,Oedipus Tyrannus,δυσάλγητος
γάρ,149,149.0,181.0,113.0,11.887754426076663,126.0,172.0,8900,0.012696629213483145,0.014157303370786517,0.016741573033707866,0.019325842696629212,0.020337078651685395,Oedipus Tyrannus,γάρ
ἐάω,10,10.0,23.0,2.0,3.1374512585218595,4.0,16.0,8900,0.00022471910112359551,0.00044943820224719103,0.0011235955056179776,0.0017977528089887641,0.002584269662921348,Oedipus Tyrannus,ἐάω
τοιόσδε,11,11.0,26.0,3.0,3.3551255018057273,4.0,18.0,8900,0.00033707865168539324,0.00044943820224719103,0.0012359550561797752,0.0020224719101123597,0.0029213483146067415,Oedipus Tyrannus,τοιόσδε
οὐ,166,166.0,209.0,124.0,12.519980355092738,141.0,191.0,8900,0.013932584269662922,0.015842696629213483,0.018651685393258427,0.02146067415730337,0.02348314606741573,Oedipus Tyrannus,οὐ
κατοικτείρω,1,1.0,5.0,0.0,0.9596244686746587,0.0,3.0,8900,0.0,0.0,0.00011235955056179776,0.00033707865168539324,0.0005617977528089888,Oedipus Tyrannus,κατοικτείρω
κρατύνω,2,2.0,7.0,0.0,1.350761800821093,0.0,5.0,8900,0.0,0.0,0.00022471910112359551,0.0005617977528089888,0.0007865168539325843,Oedipus Tyrannus,κρατύνω
χώρα,6,6.0,15.0,0.0,2.4246964443312997,1.0,11.0,8900,0.0,0.00011235955056179776,0.0006741573033707865,0.0012359550561797752,0.0016853932584269663,Oedipus Tyrannus,χώρα
