lemma,COUNT,MEAN,MAX,MIN,STD,LOW,HIGH,ALL,MIN_perc,LOW_perc,COUNT_perc,HIGH_perc,MAX_perc,title,lemma_min
φλόξ,2,2.0,8.0,0.0,1.4363748908877625,0.0,5.0,8924,0.0,0.0,0.00022411474675033618,0.0005602868668758404,0.0008964589870013447,Oedipus Tyrannus,φλόξ
πῆμα,3,3.0,10.0,0.0,1.7304795406359024,0.0,6.0,8924,0.0,0.0,0.00033617212012550425,0.0006723442402510085,0.0011205737337516809,Oedipus Tyrannus,πῆμα
πόποι,1,1.0,6.0,0.0,0.9989814993101966,0.0,3.0,8924,0.0,0.0,0.00011205737337516809,0.00033617212012550425,0.0006723442402510085,Oedipus Tyrannus,πόποι
ἀνάριθμος,2,2.0,10.0,0.0,1.4524174618602195,0.0,5.0,8924,0.0,0.0,0.00022411474675033618,0.0005602868668758404,0.0011205737337516809,Oedipus Tyrannus,ἀνάριθμος
πρόπας,1,1.0,6.0,0.0,1.0282901435784697,0.0,3.0,8924,0.0,0.0,0.00011205737337516809,0.00033617212012550425,0.0006723442402510085,Oedipus Tyrannus,πρόπας
στόλος,1,1.0,6.0,0.0,1.044582618634278,0.0,3.0,8924,0.0,0.0,0.00011205737337516809,0.00033617212012550425,0.0006723442402510085,Oedipus Tyrannus,στόλος
ἔγχος,3,3.0,9.0,0.0,1.728004629623428,0.0,6.0,8924,0.0,0.0,0.00033617212012550425,0.0006723442402510085,0.0010085163603765128,Oedipus Tyrannus,ἔγχος
ἀλέξω,2,2.0,9.0,0.0,1.330623703591457,0.0,5.0,8924,0.0,0.0,0.00022411474675033618,0.0005602868668758404,0.0010085163603765128,Oedipus Tyrannus,ἀλέξω
ἔκγονος,2,2.0,7.0,0.0,1.394503266629145,0.0,5.0,8924,0.0,0.0,0.00022411474675033618,0.0005602868668758404,0.0007844016136261766,Oedipus Tyrannus,ἔκγονος
κλυτός,1,1.0,4.0,0.0,0.9424816859078611,0.0,3.0,8924,0.0,0.0,0.00011205737337516809,0.00033617212012550425,0.00044822949350067237,Oedipus Tyrannus,κλυτός
αὐξάνω,2,2.0,8.0,0.0,1.3556342632672873,0.0,5.0,8924,0.0,0.0,0.00022411474675033618,0.0005602868668758404,0.0008964589870013447,Oedipus Tyrannus,αὐξάνω
τόκος,1,1.0,6.0,0.0,1.011802478621319,0.0,3.0,8924,0.0,0.0,0.00011205737337516809,0.00033617212012550425,0.0006723442402510085,Oedipus Tyrannus,τόκος
κάματος,1,1.0,6.0,0.0,0.9449820151680246,0.0,3.0,8924,0.0,0.0,0.00011205737337516809,0.00033617212012550425,0.0006723442402510085,Oedipus Tyrannus,κάματος
ἀνέχω,1,1.0,5.0,0.0,0.9667251121996566,0.0,3.0,8924,0.0,0.0,0.00011205737337516809,0.00033617212012550425,0.0005602868668758404,Oedipus Tyrannus,ἀνέχω
προσεῖδον,2,2.0,9.0,0.0,1.4440058334899006,0.0,5.0,8924,0.0,0.0,0.00022411474675033618,0.0005602868668758404,0.0010085163603765128,Oedipus Tyrannus,προσεῖδον
εὔπτερος,1,1.0,6.0,0.0,1.0037930063516072,0.0,3.0,8924,0.0,0.0,0.00011205737337516809,0.00033617212012550425,0.0006723442402510085,Oedipus Tyrannus,εὔπτερος
κρείσσων,2,2.0,8.0,0.0,1.4046063793529784,0.0,5.0,8924,0.0,0.0,0.00022411474675033618,0.0005602868668758404,0.0008964589870013447,Oedipus Tyrannus,κρείσσων
ἀμαιμάκετος,1,1.0,5.0,0.0,0.9902723668967851,0.0,3.0,8924,0.0,0.0,0.00011205737337516809,0.00033617212012550425,0.0005602868668758404,Oedipus Tyrannus,ἀμαιμάκετος
πῦρ,2,2.0,9.0,0.0,1.4362726485173796,0.0,5.0,8924,0.0,0.0,0.00022411474675033618,0.0005602868668758404,0.0010085163603765128,Oedipus Tyrannus,πῦρ
ἀκτή,2,2.0,9.0,0.0,1.4189519285108239,0.0,5.0,8924,0.0,0.0,0.00022411474675033618,0.0005602868668758404,0.0010085163603765128,Oedipus Tyrannus,ἀκτή
ἕσπερος,1,1.0,5.0,0.0,0.998354290175231,0.0,3.0,8924,0.0,0.0,0.00011205737337516809,0.00033617212012550425,0.0005602868668758404,Oedipus Tyrannus,ἕσπερος
νηλής,1,1.0,6.0,0.0,0.9746609851451155,0.0,3.0,8924,0.0,0.0,0.00011205737337516809,0.00033617212012550425,0.0006723442402510085,Oedipus Tyrannus,νηλής
γένεθλον,2,2.0,9.0,0.0,1.359499085044843,0.0,5.0,8924,0.0,0.0,0.00022411474675033618,0.0005602868668758404,0.0010085163603765128,Oedipus Tyrannus,γένεθλον
πέδον,1,1.0,6.0,0.0,1.0017566987629691,0.0,3.0,8924,0.0,0.0,0.00011205737337516809,0.00033617212012550425,0.0006723442402510085,Oedipus Tyrannus,πέδον
θανατηφόρος,1,1.0,5.0,0.0,0.9827228784068497,0.0,3.0,8924,0.0,0.0,0.00011205737337516809,0.00033617212012550425,0.0005602868668758404,Oedipus Tyrannus,θανατηφόρος
κεῖμαι,3,3.0,11.0,0.0,1.7277970706314902,0.0,6.0,8924,0.0,0.0,0.00033617212012550425,0.0006723442402510085,0.001232631107126849,Oedipus Tyrannus,κεῖμαι
ἄνοικτος,1,1.0,6.0,0.0,1.0057834755057367,0.0,3.0,8924,0.0,0.0,0.00011205737337516809,0.00033617212012550425,0.0006723442402510085,Oedipus Tyrannus,ἄνοικτος
ἄλοχος,1,1.0,6.0,0.0,0.9848675220373788,0.0,3.0,8924,0.0,0.0,0.00011205737337516809,0.00033617212012550425,0.0006723442402510085,Oedipus Tyrannus,ἄλοχος
πολιός,1,1.0,6.0,0.0,1.0208035854364697,0.0,3.0,8924,0.0,0.0,0.00011205737337516809,0.00033617212012550425,0.0006723442402510085,Oedipus Tyrannus,πολιός
μήτηρ,16,16.0,29.0,2.0,4.042893890394726,8.0,24.0,8924,0.00022411474675033618,0.0008964589870013447,0.0017929179740026895,0.002689376961004034,0.0032496638278798743,Oedipus Tyrannus,μήτηρ
παραβώμιος,1,1.0,5.0,0.0,1.0057993674845773,0.0,3.0,8924,0.0,0.0,0.00011205737337516809,0.00033617212012550425,0.0005602868668758404,Oedipus Tyrannus,παραβώμιος
ἄλλοθεν,1,1.0,6.0,0.0,0.9369674977863846,0.0,3.0,8924,0.0,0.0,0.00011205737337516809,0.00033617212012550425,0.0006723442402510085,Oedipus Tyrannus,ἄλλοθεν
λυγρός,1,1.0,5.0,0.0,1.0030751916779916,0.0,3.0,8924,0.0,0.0,0.00011205737337516809,0.00033617212012550425,0.0005602868668758404,Oedipus Tyrannus,λυγρός
πόνος,4,4.0,14.0,0.0,1.9143435660067065,0.0,8.0,8924,0.0,0.0,0.00044822949350067237,0.0008964589870013447,0.0015688032272523531,Oedipus Tyrannus,πόνος
ἱκέτης,1,1.0,4.0,0.0,0.9636593592340472,0.0,3.0,8924,0.0,0.0,0.00011205737337516809,0.00033617212012550425,0.00044822949350067237,Oedipus Tyrannus,ἱκέτης
ἐπιστενάχω,1,1.0,5.0,0.0,0.9635359870817531,0.0,3.0,8924,0.0,0.0,0.00011205737337516809,0.00033617212012550425,0.0005602868668758404,Oedipus Tyrannus,ἐπιστενάχω
λάμπω,2,2.0,7.0,0.0,1.417926473592853,0.0,5.0,8924,0.0,0.0,0.00022411474675033618,0.0005602868668758404,0.0007844016136261766,Oedipus Tyrannus,λάμπω
στονόεις,1,1.0,5.0,0.0,0.9700469107167045,0.0,3.0,8924,0.0,0.0,0.00011205737337516809,0.00033617212012550425,0.0005602868668758404,Oedipus Tyrannus,στονόεις
γῆρυς,1,1.0,7.0,0.0,0.9791706821464952,0.0,3.0,8924,0.0,0.0,0.00011205737337516809,0.00033617212012550425,0.0007844016136261766,Oedipus Tyrannus,γῆρυς
ὅμαυλος,1,1.0,5.0,0.0,0.9917663029163646,0.0,3.0,8924,0.0,0.0,0.00011205737337516809,0.00033617212012550425,0.0005602868668758404,Oedipus Tyrannus,ὅμαυλος
εὐώψ,1,1.0,5.0,0.0,0.9781488765904878,0.0,3.0,8924,0.0,0.0,0.00011205737337516809,0.00033617212012550425,0.0005602868668758404,Oedipus Tyrannus,εὐώψ
Ἄρης,1,1.0,5.0,0.0,0.9731910907426661,0.0,3.0,8924,0.0,0.0,0.00011205737337516809,0.00033617212012550425,0.0005602868668758404,Oedipus Tyrannus,ἄρης
μαλερός,1,1.0,5.0,0.0,0.9835266520662682,0.0,3.0,8924,0.0,0.0,0.00011205737337516809,0.00033617212012550425,0.0005602868668758404,Oedipus Tyrannus,μαλερός
ἄχαλκος,1,1.0,4.0,0.0,0.9781437699874359,0.0,3.0,8924,0.0,0.0,0.00011205737337516809,0.00033617212012550425,0.00044822949350067237,Oedipus Tyrannus,ἄχαλκος
ἀσπίς,1,1.0,5.0,0.0,1.0141358530648328,0.0,3.0,8924,0.0,0.0,0.00011205737337516809,0.00033617212012550425,0.0005602868668758404,Oedipus Tyrannus,ἀσπίς
φλέγω,1,1.0,5.0,0.0,1.0021983827574261,0.0,3.0,8924,0.0,0.0,0.00011205737337516809,0.00033617212012550425,0.0005602868668758404,Oedipus Tyrannus,φλέγω
περιβόητος,1,1.0,5.0,0.0,1.0273385885016533,0.0,3.0,8924,0.0,0.0,0.00011205737337516809,0.00033617212012550425,0.0005602868668758404,Oedipus Tyrannus,περιβόητος
ἀντιάζω,1,1.0,5.0,0.0,0.9803575363615561,0.0,3.0,8924,0.0,0.0,0.00011205737337516809,0.00033617212012550425,0.0005602868668758404,Oedipus Tyrannus,ἀντιάζω
παλίσσυτος,1,1.0,5.0,0.0,0.9663354468320976,0.0,3.0,8924,0.0,0.0,0.00011205737337516809,0.00033617212012550425,0.0005602868668758404,Oedipus Tyrannus,παλίσσυτος
δράμημα,1,1.0,5.0,0.0,0.9860211773779354,0.0,3.0,8924,0.0,0.0,0.00011205737337516809,0.00033617212012550425,0.0005602868668758404,Oedipus Tyrannus,δράμημα
νωτίζω,1,1.0,6.0,0.0,0.9762688661946044,0.0,3.0,8924,0.0,0.0,0.00011205737337516809,0.00033617212012550425,0.0006723442402510085,Oedipus Tyrannus,νωτίζω
πάτρα,2,2.0,8.0,0.0,1.3888761726579553,0.0,5.0,8924,0.0,0.0,0.00022411474675033618,0.0005602868668758404,0.0008964589870013447,Oedipus Tyrannus,πάτρα
ἔπουρος,1,1.0,7.0,0.0,1.004597821626535,0.0,3.0,8924,0.0,0.0,0.00011205737337516809,0.00033617212012550425,0.0007844016136261766,Oedipus Tyrannus,ἔπουρος
μέγας,18,18.0,34.0,5.0,4.226614688881844,10.0,26.0,8924,0.0005602868668758404,0.0011205737337516809,0.0020170327207530256,0.00291349170775437,0.003809950694755715,Oedipus Tyrannus,μέγας
θάλαμος,1,1.0,5.0,0.0,0.9670660697267687,0.0,3.0,8924,0.0,0.0,0.00011205737337516809,0.00033617212012550425,0.0005602868668758404,Oedipus Tyrannus,θάλαμος
Ἀμφιτρίτη,1,1.0,6.0,0.0,1.0261535016706922,0.0,3.0,8924,0.0,0.0,0.00011205737337516809,0.00033617212012550425,0.0006723442402510085,Oedipus Tyrannus,ἀμφιτρίτη
ἀπόξενος,1,1.0,7.0,0.0,1.0034814522326947,0.0,3.0,8924,0.0,0.0,0.00011205737337516809,0.00033617212012550425,0.0007844016136261766,Oedipus Tyrannus,ἀπόξενος
ὅρμος,1,1.0,6.0,0.0,0.9751303096915434,0.0,3.0,8924,0.0,0.0,0.00011205737337516809,0.00033617212012550425,0.0006723442402510085,Oedipus Tyrannus,ὅρμος
Θράκιος,1,1.0,5.0,0.0,0.957989695009423,0.0,3.0,8924,0.0,0.0,0.00011205737337516809,0.00033617212012550425,0.0005602868668758404,Oedipus Tyrannus,θράκιος
κλύδων,2,2.0,8.0,0.0,1.397454514780045,0.0,5.0,8924,0.0,0.0,0.00022411474675033618,0.0005602868668758404,0.0008964589870013447,Oedipus Tyrannus,κλύδων
τελέω,8,8.0,19.0,0.0,2.7860226269580206,3.0,13.0,8924,0.0,0.00033617212012550425,0.0008964589870013447,0.001456745853877185,0.0021290900941281937,Oedipus Tyrannus,τελέω
νύξ,2,2.0,7.0,0.0,1.3723951805032364,0.0,5.0,8924,0.0,0.0,0.00022411474675033618,0.0005602868668758404,0.0007844016136261766,Oedipus Tyrannus,νύξ
