lemma,COUNT,MEAN,MAX,MIN,STD,LOW,HIGH,ALL,MIN_perc,LOW_perc,COUNT_perc,HIGH_perc,MAX_perc,title,lemma_min
ἀμφιπολέω,1,1.0,6.0,0.0,1.0258536076729599,0.0,3.0,10110,0.0,0.0,9.891196834817012e-05,0.0002967359050445104,0.0005934718100890207,Oedipus Colonus,ἀμφιπολέω
τιθήνη,1,1.0,6.0,0.0,0.9853076518687813,0.0,3.0,10110,0.0,0.0,9.891196834817012e-05,0.0002967359050445104,0.0005934718100890207,Oedipus Colonus,τιθήνη
θάλλω,2,2.0,7.0,0.0,1.3479432662211912,0.0,5.0,10110,0.0,0.0,0.00019782393669634025,0.0004945598417408506,0.0006923837784371909,Oedipus Colonus,θάλλω
οὐράνιος,2,2.0,7.0,0.0,1.44482610632646,0.0,5.0,10110,0.0,0.0,0.00019782393669634025,0.0004945598417408506,0.0006923837784371909,Oedipus Colonus,οὐράνιος
ἄχνη,1,1.0,5.0,0.0,1.0070550333322672,0.0,3.0,10110,0.0,0.0,9.891196834817012e-05,0.0002967359050445104,0.0004945598417408506,Oedipus Colonus,ἄχνη
καλλίβοτρυς,1,1.0,5.0,0.0,0.9989914994553322,0.0,3.0,10110,0.0,0.0,9.891196834817012e-05,0.0002967359050445104,0.0004945598417408506,Oedipus Colonus,καλλίβοτρυς
ἦμαρ,4,4.0,13.0,0.0,1.9805452382006947,0.0,8.0,10110,0.0,0.0,0.0003956478733926805,0.000791295746785361,0.0012858555885262117,Oedipus Colonus,ἦμαρ
νάρκισσος,1,1.0,6.0,0.0,0.986669389165632,0.0,3.0,10110,0.0,0.0,9.891196834817012e-05,0.0002967359050445104,0.0005934718100890207,Oedipus Colonus,νάρκισσος
στεφάνωμ,1,1.0,6.0,0.0,0.9997582125276518,0.0,3.0,10110,0.0,0.0,9.891196834817012e-05,0.0002967359050445104,0.0005934718100890207,Oedipus Colonus,στεφάνωμ
χρυσαυγὴς,1,1.0,5.0,0.0,0.972911836991121,0.0,3.0,10110,0.0,0.0,9.891196834817012e-05,0.0002967359050445104,0.0004945598417408506,Oedipus Colonus,χρυσαυγὴς
κρόκος,1,1.0,6.0,0.0,1.0295455482707134,0.0,3.0,10110,0.0,0.0,9.891196834817012e-05,0.0002967359050445104,0.0005934718100890207,Oedipus Colonus,κρόκος
ἄϋπνοι,1,1.0,6.0,0.0,0.9955405060071127,0.0,3.0,10110,0.0,0.0,9.891196834817012e-05,0.0002967359050445104,0.0005934718100890207,Oedipus Colonus,ἄϋπνοι
μινύθω,1,1.0,6.0,0.0,1.0150741964879337,0.0,3.0,10110,0.0,0.0,9.891196834817012e-05,0.0002967359050445104,0.0005934718100890207,Oedipus Colonus,μινύθω
Κηφισοῦ,1,1.0,5.0,0.0,0.9814360820841974,0.0,3.0,10110,0.0,0.0,9.891196834817012e-05,0.0002967359050445104,0.0004945598417408506,Oedipus Colonus,κηφισοῦ
νομάς,1,1.0,4.0,0.0,0.978480748622361,0.0,3.0,10110,0.0,0.0,9.891196834817012e-05,0.0002967359050445104,0.0003956478733926805,Oedipus Colonus,νομάς
ῥεῖθρον,1,1.0,6.0,0.0,0.985775961237766,0.0,3.0,10110,0.0,0.0,9.891196834817012e-05,0.0002967359050445104,0.0005934718100890207,Oedipus Colonus,ῥεῖθρον
ὠκυτόκος,1,1.0,5.0,0.0,1.0198019435145322,0.0,3.0,10110,0.0,0.0,9.891196834817012e-05,0.0002967359050445104,0.0004945598417408506,Oedipus Colonus,ὠκυτόκος
πεδίον,1,1.0,6.0,0.0,1.050790102808281,0.0,3.0,10110,0.0,0.0,9.891196834817012e-05,0.0002967359050445104,0.0005934718100890207,Oedipus Colonus,πεδίον
ἐπινίσσομαι,1,1.0,6.0,0.0,0.9519242827871549,0.0,3.0,10110,0.0,0.0,9.891196834817012e-05,0.0002967359050445104,0.0005934718100890207,Oedipus Colonus,ἐπινίσσομαι
στερνοῦχος,1,1.0,5.0,0.0,0.9899414204810368,0.0,3.0,10110,0.0,0.0,9.891196834817012e-05,0.0002967359050445104,0.0004945598417408506,Oedipus Colonus,στερνοῦχος
